Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3453477|1|1|1|2995.964285|34534771|4|1|||||||||
3453477|1|2|2|2995.964285|34534771|1||||||||||
3453477|1|3|3|2995.964285|34534771|5||||||||||
3453478|1|1|1|3704.8025833|34534781|1||||||||||
3453478|1|2|2|3704.8025833|34534781|1||||||||||
3453478|1|3|3|3704.8025833|34534781|1||||||||||
3453478|1|4|4|3704.8025833|34534781|1||||||||||
3453479|1|1|1|2818.9454935|34534791|5||||||||||
3453479|1|2|2|2818.9454935|34534791|4|2|2|2|2|2|||||
3453479|1|3|3|2818.9454935|34534791|2|1|||||||||
3453479|1|4|4|2818.9454935|34534791|1||||||||||
3453480|1|1|1|4006.8580058|34534801|1||||||||||
3453480|1|2|2|4006.8580058|34534801|4|2|2|2|2|2|||||
3453480|1|4|4|4006.8580058|34534801|1||||||||||
3453480|1|5|5|4006.8580058|34534801|2|2|2|2|1||||||1
3453480|1|6|6|4006.8580058|34534801|1||||||||||
3453481|1|1|1|2524.4016023|34534811|1||||||||||
3453481|1|2|2|2524.4016023|34534811|4|2|2|2|2|2|||||
3453482|1|1|1|2095.5257977|34534821|3|2|2|2|2|2|||||
3453483|1|1|1|3785.6886412|34534831|4|2|2|2|2|2|||||
3453483|1|2|2|3785.6886412|34534831|1||||||||||
3453483|1|3|3|3785.6886412|34534831|1||||||||||
3453483|1|4|4|3785.6886412|34534831|1||||||||||
3453484|1|1|1|2854.249461|34534841|1||||||||||
3453484|1|2|2|2854.249461|34534841|6|2|1||||||||
3453485|1|1|1|2715.5862962|34534851|3|2|2|2|2|2|||||
3453485|1|2|2|2715.5862962|34534851|3|2|2|2|2|2|||||
3453485|1|3|3|2715.5862962|34534851|6|2|2|2|2|2|||||
3453486|1|1|1|2691.1096953|34534861|6|2|2|2|2|2|||||
3453487|1|1|1|5094.7557174|34534871|4|2|2|2|2|2|||||
3453487|1|2|2|5094.7557174|34534871|5||||||||||
3453487|1|3|3|5094.7557174|34534871|6|2|2|2|2|2|||||
3453488|1|1|1|3054.6175499|34534881|1||||||||||
3453488|1|2|2|3054.6175499|34534881|3|2|2|2|2|2|||||
3453488|1|3|3|3054.6175499|34534881|1||||||||||
3453489|1|1|1|3877.5007565|34534891|1||||||||||
3453490|1|1|1|3019.3503|34534901|1||||||||||
3453491|1|1|1|3670.4957351|34534911|1||||||||||
3453492|1|1|1|3019.3503|34534921|1||||||||||
3453493|1|1|1|2895.5065055|34534931|1||||||||||
3453493|1|2|2|2895.5065055|34534931|1||||||||||
3453494|1|1|1|3877.5007565|34534941|1||||||||||
3453495|1|1|1|3102.5115269|34534951|1||||||||||
3453495|1|2|2|3102.5115269|34534951|1||||||||||
3453496|1|1|1|4218.7347756|34534961|1||||||||||
3453496|1|2|2|4218.7347756|34534961|1||||||||||
3453497|1|1|1|2215.0692157|34534971|1||||||||||
3453498|1|1|1|3236.9621403|34534981|1||||||||||
3453499|1|1|1|2918.7487107|34534991|1||||||||||
3453499|1|2|2|2918.7487107|34534991|1||||||||||
3453499|1|3|3|2918.7487107|34534991|1||||||||||
3453500|1|1|1|3863.0813135|34535001|1||||||||||
3453500|1|2|2|3863.0813135|34535001|1||||||||||
3453501|1|5|5|2418.6789955|34535011|4|1|||||||||
3453501|1|1|1|2418.6789955|34535011|1||||||||||
3453501|1|2|2|2418.6789955|34535011|2|2|2|2|1||||||1
3453501|1|3|3|2418.6789955|34535011|3|1|||||||||
3453501|1|4|4|2418.6789955|34535011|4|1|||||||||
3453502|1|1|1|2276.0783254|34535021|6|2|2|2|2|2|||||
3453502|1|2|2|2276.0783254|34535021|1||||||||||
3453503|1|1|1|3487.2997613|34535031|1||||||||||
3453503|1|2|2|3487.2997613|34535031|4|1|||||||||
3453505|1|1|1|3142.6663171|34535051|4|2|2|2|2|2|||||
3453505|1|2|2|3142.6663171|34535051|3|2|2|2|2|2|||||
3453505|1|3|3|3142.6663171|34535051|1||||||||||
3453506|1|1|1|2276.0783254|34535061|1||||||||||
3453506|1|2|2|2276.0783254|34535061|1||||||||||
3453507|1|1|1|2900.3480194|34535071|1||||||||||
3453509|1|1|1|4767.6481085|34535091|6|2|2|2|2|2|||||
3453510|1|1|1|4470.1318765|34535101|1||||||||||
3453511|1|1|1|4267.5984335|34535111|4|2|2|2|2|2|||||
3453511|1|2|2|4267.5984335|34535111|5||||||||||
3453511|1|3|3|4267.5984335|34535111|1||||||||||
3453512|1|1|1|5575.91394|34535121|5||||||||||
3453512|1|2|2|5575.91394|34535121|4|2|2|2|2|2|||||
3453512|1|3|3|5575.91394|34535121|1||||||||||
3453513|1|1|1|2917.3576368|34535131|1||||||||||
3453513|1|2|2|2917.3576368|34535131|4|2|2|2|2|2|||||
3453513|1|3|3|2917.3576368|34535131|4|2|2|2|2|2|||||
3453513|1|6|6|2917.3576368|34535131|6|2|2|2|2|2|||||
3453514|1|1|1|2167.6936432|34535141|1||||||||||
3453514|1|2|2|2167.6936432|34535141|1||||||||||
3453515|1|1|1|2709.1708342|34535151|1||||||||||
3453516|1|1|1|3918.9881057|34535161|4|2|2|2|2|2|||||
3453516|1|2|2|3918.9881057|34535161|4|2|2|2|2|2|||||
3453516|1|3|3|3918.9881057|34535161|1||||||||||
3453516|1|4|4|3918.9881057|34535161|2|2|2|2|1||||||1
3453516|1|5|5|3918.9881057|34535161|1||||||||||
3453516|1|6|6|3918.9881057|34535161|2|2|2|2|1||||||1
3453518|1|1|1|2023.0613139|34535181|1||||||||||
3453518|1|2|2|2023.0613139|34535181|1||||||||||
3453519|1|1|1|2464.2143391|34535191|4|1|||||||||
3453519|1|2|2|2464.2143391|34535191|1||||||||||
3453519|1|3|3|2464.2143391|34535191|1||||||||||
3453519|1|4|4|2464.2143391|34535191|3|2|2|2|2|2|||||
3453520|1|1|1|2406.1104251|34535201|1||||||||||
3453520|1|2|2|2406.1104251|34535201|4|2|2|2|2|2|||||
3453520|1|3|3|2406.1104251|34535201|1||||||||||
3453521|1|1|1|3679.1250605|34535211|4|2|2|2|2|2|||||
3453521|1|2|2|3679.1250605|34535211|1||||||||||
3453522|1|1|1|4155.4629681|34535221|1||||||||||
3453523|1|1|1|2081.1652279|34535231|1||||||||||
3453523|1|2|2|2081.1652279|34535231|3|2|2|2|2|2|||||
3453523|1|3|3|2081.1652279|34535231|1||||||||||
3453524|1|2|2|2311.6672818|34535241|1||||||||||
3453524|1|1|1|2311.6672818|34535241|1||||||||||
3453525|1|1|1|2935.7926426|34535251|1||||||||||
3453525|1|2|2|2935.7926426|34535251|1||||||||||
3453526|1|1|1|3931.5885295|34535261|1||||||||||
3453526|1|2|2|3931.5885295|34535261|1||||||||||
3453526|1|3|3|3931.5885295|34535261|4|2|2|2|2|2|||||
3453527|1|1|1|2900.9597698|34535271|1||||||||||
3453527|1|2|2|2900.9597698|34535271|1||||||||||
3453527|1|3|3|2900.9597698|34535271|1||||||||||
3453528|1|1|1|3912.4796663|34535281|1||||||||||
3453528|1|2|2|3912.4796663|34535281|4|2|2|2|1||||||1
3453529|1|1|1|2081.7325924|34535291|4|1|||||||||
3453529|1|2|2|2081.7325924|34535291|1||||||||||
3453529|1|3|3|2081.7325924|34535291|2|2|2|2|1||||||1
3453531|1|1|1|2297.8032139|34535311|1||||||||||
3453531|1|2|2|2297.8032139|34535311|4|2|2|2|2|2|||||
3453532|1|1|1|3829.7325191|34535321|1||||||||||
3453532|1|2|2|3829.7325191|34535321|4|2|2|2|2|2|||||
3453533|1|1|1|4185.3170397|34535331|1||||||||||
3453533|1|2|2|4185.3170397|34535331|1||||||||||
3453535|1|1|1|5578.9273602|34535351|4|2|2|2|2|2|||||
3453537|1|1|1|4533.4596479|34535371|4|2|2|2|2|2|||||
3453537|1|2|2|4533.4596479|34535371|1||||||||||
3453538|1|1|1|5578.9273602|34535381|4|2|2|2|2|2|||||
3453539|1|1|1|4185.3170397|34535391|1||||||||||
3453539|1|2|2|4185.3170397|34535391|1||||||||||
3453540|1|1|1|4645.64492|34535401|1||||||||||
3453540|1|2|2|4645.64492|34535401|1||||||||||
3453540|1|3|3|4645.64492|34535401|4|2|2|2|2|2|||||
3453541|1|1|1|5578.9273602|34535411|4|2|2|2|2|2|||||
3453542|1|1|1|4297.5023119|34535421|1||||||||||
3453542|1|2|2|4297.5023119|34535421|1||||||||||
3453542|1|3|3|4297.5023119|34535421|1||||||||||
3453543|1|1|1|5087.9572674|34535431|4|2|2|2|2|2|||||
3453543|1|2|2|5087.9572674|34535431|4|2|2|2|2|2|||||
3453543|1|3|3|5087.9572674|34535431|1||||||||||
3453543|1|5|5|5087.9572674|34535431|5||||||||||
3453544|1|1|1|4188.4009185|34535441|1||||||||||
3453544|1|2|2|4188.4009185|34535441|4|2|2|2|2|2|||||
3453544|1|3|3|4188.4009185|34535441|1||||||||||
3453544|1|4|4|4188.4009185|34535441|4|2|2|2|2|2|||||
3453545|1|1|1|3695.032006|34535451|1||||||||||
3453545|1|2|2|3695.032006|34535451|3|1|||||||||
3453546|1|1|1|3462.7674883|34535461|1||||||||||
3453546|1|2|2|3462.7674883|34535461|1||||||||||
3453546|1|3|3|3462.7674883|34535461|3|2|2|2|2|2|||||
3453547|1|1|1|5129.3825622|34535471|1||||||||||
3453548|1|1|1|3791.7087819|34535481|1||||||||||
3453548|1|2|2|3791.7087819|34535481|1||||||||||
3453548|1|3|3|3791.7087819|34535481|3|2|2|2|2|2|||||
3453549|1|1|1|7419.183221|34535491|4|2|2|2|2|2|||||
3453549|1|2|2|7419.183221|34535491|1||||||||||
3453550|1|1|1|4084.4691805|34535501|1||||||||||
3453550|1|2|2|4084.4691805|34535501|3|2|2|2|2|2|||||
3453550|1|3|3|4084.4691805|34535501|3|2|2|2|2|2|||||
3453551|1|1|1|5526.0746989|34535511|6|2|2|2|2|2|||||
3453551|1|2|2|5526.0746989|34535511|4|2|2|2|2|2|||||
3453552|1|1|1|3606.7386539|34535521|1||||||||||
3453552|1|2|2|3606.7386539|34535521|1||||||||||
3453553|1|1|1|1587.6003795|34535531|1||||||||||
3453553|1|2|2|1587.6003795|34535531|3|2|2|2|2|2|||||
3453554|1|1|1|1456.6427378|34535541|4|2|2|2|2|2|||||
3453554|2|1|1|1456.6427378|34535542|1||||||||||
3453555|1|1|1|1280.4466546|34535551|1||||||||||
3453555|1|2|2|1280.4466546|34535551|1||||||||||
3453555|1|3|3|1280.4466546|34535551|1||||||||||
3453556|1|2|2|849.75834617|34535561|1||||||||||
3453556|1|3|3|849.75834617|34535561|2|2|2|2|1||||||1
3453556|1|1|1|849.75834617|34535561|6|1|||||||||
3453557|1|1|1|1803.0487048|34535571|4|2|2|2|2|1|7|2||2|
3453557|1|2|2|1803.0487048|34535571|1||||||||||
3453557|1|3|3|1803.0487048|34535571|3|2|2|2|2|1|12||||
3453557|1|4|4|1803.0487048|34535571|3|2|2|2|2|2|||||
3453557|1|5|5|1803.0487048|34535571|3|2|2|2|2|2|||||
3453558|1|1|1|1859.3451537|34535581|1||||||||||
3453558|1|2|2|1859.3451537|34535581|4|2|2|2|2|1|10||||
3453559|1|1|1|1700.4610629|34535591|4|2|2|2|2|1|9||||
3453559|1|2|2|1700.4610629|34535591|1||||||||||
3453559|1|3|3|1700.4610629|34535591|4|1|||||||||
3453559|1|6|6|1700.4610629|34535591|1||||||||||
3453559|1|7|7|1700.4610629|34535591|4|2|2|2|2|2|||||
3453560|1|1|1|948.63548198|34535601|1||||||||||
3453560|1|2|2|948.63548198|34535601|1||||||||||
3453560|1|3|3|948.63548198|34535601|1||||||||||
3453560|1|4|4|948.63548198|34535601|1||||||||||
3453561|1|1|1|1569.9634969|34535611|1||||||||||
3453561|1|2|2|1569.9634969|34535611|1||||||||||
3453561|1|3|3|1569.9634969|34535611|1||||||||||
3453562|1|1|1|754.03303852|34535621|4|2|2|2|2|2|||||
3453562|1|2|2|754.03303852|34535621|1||||||||||
3453562|1|3|3|754.03303852|34535621|3|2|2|2|2|2|||||
3453562|1|4|4|754.03303852|34535621|4|2|2|2|2|2|||||
3453562|1|5|5|754.03303852|34535621|4|2|2|2|2|1|9||||
3453563|1|1|1|886.1969322|34535631|4|2|2|2|2|2|||||
3453563|1|2|2|886.1969322|34535631|4|1|||||||||
3453563|1|3|3|886.1969322|34535631|1||||||||||
3453564|1|1|1|1367.3771446|34535641|1||||||||||
3453564|1|2|2|1367.3771446|34535641|1||||||||||
3453565|1|1|1|2200.6915327|34535651|4|2|2|2|2|2|||||
3453565|1|2|2|2200.6915327|34535651|1||||||||||
3453565|1|3|3|2200.6915327|34535651|1||||||||||
3453565|1|4|4|2200.6915327|34535651|2|2|2|2|1||||||1
3453565|1|5|5|2200.6915327|34535651|2|2|2|2|1||||||1
3453566|1|1|1|944.44111853|34535661|4|2|2|2|2|2|||||
3453566|1|2|2|944.44111853|34535661|1||||||||||
3453567|1|1|1|696.96704048|34535671|4|2|2|2|2|2|||||
3453567|1|2|2|696.96704048|34535671|5||||||||||
3453567|2|1|1|696.96704048|34535672|4|2|2|2|2|2|||||
3453568|1|1|1|893.89502043|34535681|4|2|1||||||||
3453568|1|2|2|893.89502043|34535681|4|2|2|2|2|2|||||
3453569|1|1|1|824.51601842|34535691|4|1|||||||||
3453569|1|2|2|824.51601842|34535691|1||||||||||
3453569|1|3|3|824.51601842|34535691|1||||||||||
3453569|1|4|4|824.51601842|34535691|4|2|2|2|2|1|10||||
3453570|1|1|1|1053.179426|34535701|4|2|2|2|2|2|||||
3453571|1|1|1|1937.0399122|34535711|1||||||||||
3453571|1|2|2|1937.0399122|34535711|1||||||||||
3453571|1|3|3|1937.0399122|34535711|2|2|2|2|1||||||1
3453571|1|4|4|1937.0399122|34535711|3|2|2|2|2|2|||||
3453572|1|1|1|1698.8707135|34535721|1||||||||||
3453572|1|2|2|1698.8707135|34535721|1||||||||||
3453572|1|3|3|1698.8707135|34535721|3|2|2|2|2|2|||||
3453573|1|1|1|1185.8020204|34535731|1||||||||||
3453574|1|1|1|946.72075075|34535741|4|2|2|2|2|2|||||
3453574|1|2|2|946.72075075|34535741|4|2|2|2|2|1|7|2||2|
3453574|1|3|3|946.72075075|34535741|1||||||||||
3453575|1|1|1|1884.1112618|34535751|1||||||||||
