Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3453501|1|1|1|2418.6789955|34535011|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453502|1|1|1|2276.0783254|34535021|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453503|1|1|1|3487.2997613|34535031|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453505|1|1|1|3142.6663171|34535051|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453506|1|1|1|2276.0783254|34535061|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453507|1|1|1|2900.3480194|34535071|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453509|1|1|1|4767.6481085|34535091|2||2||1|2|2|1|2|2|2|2|2||3||3000000
3453510|1|1|1|4470.1318765|34535101|2||2||1|1|2|2|2|2|2|2|2||1||2800000
3453511|1|1|1|4267.5984335|34535111|2||2||1|1|2|1|2|2|2|2|2||1||6000000
3453512|1|1|1|5575.91394|34535121|2||2||1|1|2|2|2|2|2|2|2||1||98
3453513|1|1|1|2917.3576368|34535131|2||2||1|1|2|2|2|2|2|2|1||1||1700000
3453514|1|1|1|2167.6936432|34535141|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453515|1|1|1|2709.1708342|34535151|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3453516|1|1|1|3918.9881057|34535161|2||2||1|1|2|1|2|2|2|2|2||3||2300000
3453518|1|1|1|2023.0613139|34535181|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453519|1|1|1|2464.2143391|34535191|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453520|1|1|1|2406.1104251|34535201|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3453521|1|1|1|3679.1250605|34535211|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3453522|1|1|1|4155.4629681|34535221|2||1|1|1|1|2|2|2|2|1|2|2||1||1300000
3453523|1|1|1|2081.1652279|34535231|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453524|1|1|1|2311.6672818|34535241|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453525|1|1|1|2935.7926426|34535251|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453526|1|1|1|3931.5885295|34535261|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453527|1|1|1|2900.9597698|34535271|2||2||1|1|2|2|2|2|2|2|2||1||4500000
