Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453538|1|1|1|5578.9273602|05|2|1|3|1|1|1|1
3453539|1|1|1|4185.3170397|05|2|1|3|1|1|1|1
3453540|1|1|1|4645.64492|05|2|1|4|1|1|1|1
3453541|1|1|1|5578.9273602|05|2|1|4|1|1|1|1
3453542|1|1|1|4297.5023119|05|2|1|4|1|1|1|1
3453543|1|1|1|5087.9572674|05|2|1|2|1|1|1|1
3453544|1|1|1|4188.4009185|05|2|1|2|1|1|1|1
3453545|1|1|1|3695.032006|05|2|1|2|1|1|1|1
3453546|1|1|1|3462.7674883|05|2|1|2|1|1|1|1
3453547|1|1|1|5129.3825622|05|2|1|2|1|1|1|1
3453548|1|1|1|3791.7087819|05|2|1|2|1|1|1|1
3453549|1|1|1|7419.183221|05|2|1|2|1|1|1|1
3453550|1|1|1|4084.4691805|05|2|1|2|1|1|1|1
3453551|1|1|1|5526.0746989|05|2|1|2|1|1|1|1
3453552|1|1|1|3606.7386539|05|2|1|2|1|1|1|1
3453553|1|1|1|1587.6003795|08|2|1|6|1|1|1|1
3453554|1|1|1|1456.6427378|08|2|1|6|1|1|1|1
3453555|1|1|1|1280.4466546|08|2|1|6|1|1|1|1
3453556|1|1|1|849.75834617|08|2|1|6|1|1|1|1
3453557|1|1|1|1803.0487048|08|2|1|3|1|1|1|1
3453558|1|1|1|1859.3451537|08|1|1|3|1|1|1|1
3453559|1|1|1|1700.4610629|08|1|1|3|1|1|1|1
3453560|1|1|1|948.63548198|08|2|1|3|1|1|1|1
3453561|1|1|1|1569.9634969|08|2|1|3|1|1|1|1
3453562|1|1|1|754.03303852|08|2|1|3|1|1|1|1
3453563|1|1|1|886.1969322|08|1|1|3|1|1|1|1
3453564|1|1|1|1367.3771446|08|1|1|1|1|1|1|1
3453565|1|1|1|2200.6915327|08|2|1|1|1|1|1|1
3453566|1|1|1|944.44111853|08|1|1|1|1|1|1|1
3453567|1|1|1|696.96704048|08|2|1|1|1|1|1|1
3453568|1|1|1|893.89502043|08|2|1|1|1|1|1|1
3453569|1|1|1|824.51601842|08|2|1|1|1|1|1|1
3453570|1|1|1|1053.179426|08|1|1|1|1|1|1|1
3453571|1|1|1|1937.0399122|08|1|1|1|1|1|1|1
3453572|1|1|1|1698.8707135|08|2|1|1|1|1|1|1
3453573|1|1|1|1185.8020204|08|2|1|3|1|1|1|1
3453574|1|1|1|946.72075075|08|1|1|3|1|1|1|1
3453575|1|1|1|1884.1112618|08|2|1|3|1|1|1|1
3453576|1|1|1|1600.1639683|08|2|1|3|1|1|1|1
3453577|1|1|1|1006.4595786|08|1|1|3|1|1|1|1
3453578|1|1|1|1644.6417057|08|2|1|3|1|1|1|1
