Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3464131|1|1|1|607.25363205|34641311|2||||||
3464340|1|1|1|1013.1050475|34643401|1|1|100000|2||2|
3464345|1|1|1|698.42156578|34643451|1|1|120000|1|500000|2|
3464584|1|1|1|7646.1584866|34645841|1|1|700000|2||2|
3464584|1|2|2|7646.1584866|34645841|1|1|250000|2||2|
3464803|1|1|1|84.929088587|34648031|1|1|100000|2||2|
3464964|1|1|1|248.35568461|34649641|1|1|100000|1|1000000|2|
3465040|1|1|1|3331.3730925|34650401|1|1|150000|1|800000|2|
3465041|1|1|1|3285.6490922|34650411|1|1|200000|2||2|
3465046|1|1|1|2450.6946085|34650461|1|1|1600000|1|1000000|1|600000
3465132|1|1|1|113.45723494|34651321|1|1|20000|1|50000|2|
3465141|1|1|1|126.09002758|34651411|1|1|100000|2||2|
3465175|1|1|1|549.69642985|34651751|1|1|600000|2||2|
3465251|1|1|1|181.76120424|34652511|2||||||
3465300|1|1|1|38.442500228|34653001|1|1|280000|2||2|
3465349|1|1|1|70.875060816|34653491|1|1|300000|2||2|
3465656|1|1|1|3065.5171314|34656561|1|1|130000|1|200000|1|200000
3465658|1|1|1|2496.4186089|34656581|1|1|400000|2||2|
3465739|1|1|1|6654.5773618|34657391|1|1|350000|1|200000|2|
3465768|1|1|1|79.874184718|34657681|1|1|131000|1|100000|1|500000
3465840|1|1|1|495.56567585|34658401|1|1|100000|1|150000|2|
3466138|1|1|1|1471.2761443|34661381|1|1|40000|2||2|
3466159|1|1|1|4873.536294|34661591|1|1|400000|1|450000|2|
3466197|1|1|1|87.459837647|34661971|1|1|100000|2||2|
3466287|1|1|1|81.709476219|34662871|1|1|80000|2||2|
3466354|1|1|1|365.33069798|34663541|2||||||
3466568|1|1|1|123.5955048|34665681|1|1|80000|2||2|
3466568|1|2|2|123.5955048|34665681|2||||||
3466575|1|1|1|104.95180518|34665751|1|1|250000|2||2|
3466787|1|1|1|147.95779132|34667871|1|1|190000|2||2|
3466895|1|1|1|563.49297875|34668951|2||||||
3466938|1|1|1|282.37430228|34669381|1|1|150000|2||2|
3467108|1|1|1|8514.8204794|34671081|1|1|340000|2||2|
3467538|1|1|1|800.64802347|34675381|1|1|120000|2||2|
