Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P1992|P1993S1|P1993S1A1|P1994|P1994S1|P1995|P1995S1|P1996S1|P1996S1A1|P1996S2|P1996S2A1|P1996S3|P1996S3A1|P1996S4|P1996S4A1|P1996S5|P1996S5A1|P1996S7|P1996S7A1|P1996S8|P1996S8A1|P1996S10|P1996S10A1|P1997|P1998
3453468|1|3|3|2589.1744368|34534681|2||||||||||||||||||||||||2
3453468|1|4|4|2589.1744368|34534681|2||||||||||||||||||||||||2
3453468|1|5|5|2589.1744368|34534681|2||||||||||||||||||||||||1
3453468|1|6|6|2589.1744368|34534681|2||||||||||||||||||||||||2
3453468|1|7|7|2589.1744368|34534681|2||||||||||||||||||||||||4
3453469|1|1|1|3176.8444307|34534691|2||||||||||||||||||||||||3
3453469|1|2|2|3176.8444307|34534691|2||||||||||||||||||||||||2
3453470|1|1|1|3385.2191666|34534701|2||||||||||||||||||||||||2
3453470|1|2|2|3385.2191666|34534701|2||||||||||||||||||||||||2
3453471|1|1|1|2919.8841213|34534711|1|05|05197|3||2024-06-01|2024-06-03|2||2||2||2||1|2|2||2||2||4|
3453472|1|1|1|3809.3977213|34534721|2||||||||||||||||||||||||2
3453472|1|2|2|3809.3977213|34534721|2||||||||||||||||||||||||2
3453473|1|1|1|2655.8754543|34534731|2||||||||||||||||||||||||1
3453473|1|2|2|2655.8754543|34534731|2||||||||||||||||||||||||1
3453473|1|3|3|2655.8754543|34534731|2||||||||||||||||||||||||2
3453473|1|4|4|2655.8754543|34534731|2||||||||||||||||||||||||2
3453474|1|1|1|2919.8841213|34534741|2||||||||||||||||||||||||2
3453475|1|1|1|2336.2920377|34534751|2||||||||||||||||||||||||2
3453475|1|2|2|2336.2920377|34534751|2||||||||||||||||||||||||2
3453476|1|1|1|3020.9629202|34534761|2||||||||||||||||||||||||2
3453476|1|2|2|3020.9629202|34534761|2||||||||||||||||||||||||2
3453477|1|1|1|2995.964285|34534771|2||||||||||||||||||||||||2
3453477|1|2|2|2995.964285|34534771|2||||||||||||||||||||||||4
3453477|1|3|3|2995.964285|34534771|2||||||||||||||||||||||||1
3453478|1|1|1|3704.8025833|34534781|2||||||||||||||||||||||||1
3453478|1|2|2|3704.8025833|34534781|2||||||||||||||||||||||||1
3453478|1|3|3|3704.8025833|34534781|2||||||||||||||||||||||||1
3453478|1|4|4|3704.8025833|34534781|2||||||||||||||||||||||||4
3453479|1|1|1|2818.9454935|34534791|2||||||||||||||||||||||||1
3453479|1|2|2|2818.9454935|34534791|2||||||||||||||||||||||||2
3453479|1|3|3|2818.9454935|34534791|2||||||||||||||||||||||||1
3453479|1|4|4|2818.9454935|34534791|2||||||||||||||||||||||||4
3453480|1|1|1|4006.8580058|34534801|2||||||||||||||||||||||||2
3453480|1|2|2|4006.8580058|34534801|2||||||||||||||||||||||||1
3453480|1|4|4|4006.8580058|34534801|2||||||||||||||||||||||||4
3453480|1|5|5|4006.8580058|34534801|2||||||||||||||||||||||||3
3453480|1|6|6|4006.8580058|34534801|2||||||||||||||||||||||||4
3453481|1|1|1|2524.4016023|34534811|2||||||||||||||||||||||||3
3453481|1|2|2|2524.4016023|34534811|2||||||||||||||||||||||||3
3453482|1|1|1|2095.5257977|34534821|2||||||||||||||||||||||||4
3453483|1|1|1|3785.6886412|34534831|2||||||||||||||||||||||||2
3453483|1|2|2|3785.6886412|34534831|2||||||||||||||||||||||||2
3453483|1|3|3|3785.6886412|34534831|2||||||||||||||||||||||||2
3453483|1|4|4|3785.6886412|34534831|2||||||||||||||||||||||||2
3453484|1|1|1|2854.249461|34534841|2||||||||||||||||||||||||2
3453484|1|2|2|2854.249461|34534841|2||||||||||||||||||||||||2
3453485|1|1|1|2715.5862962|34534851|2||||||||||||||||||||||||4
3453485|1|2|2|2715.5862962|34534851|2||||||||||||||||||||||||1
3453485|1|3|3|2715.5862962|34534851|2||||||||||||||||||||||||4
3453486|1|1|1|2691.1096953|34534861|2||||||||||||||||||||||||2
3453487|1|1|1|5094.7557174|34534871|2||||||||||||||||||||||||4
3453487|1|2|2|5094.7557174|34534871|2||||||||||||||||||||||||7
3453487|1|3|3|5094.7557174|34534871|2||||||||||||||||||||||||1
3453488|1|1|1|3054.6175499|34534881|2||||||||||||||||||||||||1
3453488|1|2|2|3054.6175499|34534881|2||||||||||||||||||||||||1
3453488|1|3|3|3054.6175499|34534881|2||||||||||||||||||||||||4
3453489|1|1|1|3877.5007565|34534891|2||||||||||||||||||||||||2
3453490|1|1|1|3019.3503|34534901|2||||||||||||||||||||||||7
3453491|1|1|1|3670.4957351|34534911|1|05|05667|3||2024-06-07|2024-06-09|2||1|2|2||2||2||2||2||2||5|
3453492|1|1|1|3019.3503|34534921|2||||||||||||||||||||||||2
3453493|1|1|1|2895.5065055|34534931|2||||||||||||||||||||||||4
3453493|1|2|2|2895.5065055|34534931|2||||||||||||||||||||||||4
3453494|1|1|1|3877.5007565|34534941|2||||||||||||||||||||||||1
3453495|1|1|1|3102.5115269|34534951|2||||||||||||||||||||||||1
3453495|1|2|2|3102.5115269|34534951|2||||||||||||||||||||||||1
3453496|1|1|1|4218.7347756|34534961|2||||||||||||||||||||||||1
3453496|1|2|2|4218.7347756|34534961|2||||||||||||||||||||||||1
3453497|1|1|1|2215.0692157|34534971|2||||||||||||||||||||||||3
3453498|1|1|1|3236.9621403|34534981|2||||||||||||||||||||||||1
3453499|1|1|1|2918.7487107|34534991|2||||||||||||||||||||||||1
3453499|1|2|2|2918.7487107|34534991|2||||||||||||||||||||||||1
3453499|1|3|3|2918.7487107|34534991|2||||||||||||||||||||||||1
3453500|1|1|1|3863.0813135|34535001|2||||||||||||||||||||||||3
3453500|1|2|2|3863.0813135|34535001|2||||||||||||||||||||||||2
3453501|1|5|5|2418.6789955|34535011|2||||||||||||||||||||||||2
3453501|1|1|1|2418.6789955|34535011|2||||||||||||||||||||||||2
3453501|1|2|2|2418.6789955|34535011|2||||||||||||||||||||||||2
3453501|1|3|3|2418.6789955|34535011|2||||||||||||||||||||||||2
3453501|1|4|4|2418.6789955|34535011|2||||||||||||||||||||||||2
3453502|1|1|1|2276.0783254|34535021|2||||||||||||||||||||||||4
3453502|1|2|2|2276.0783254|34535021|2||||||||||||||||||||||||4
3453503|1|1|1|3487.2997613|34535031|2||||||||||||||||||||||||1
3453503|1|2|2|3487.2997613|34535031|2||||||||||||||||||||||||2
3453505|1|1|1|3142.6663171|34535051|2||||||||||||||||||||||||2
3453505|1|2|2|3142.6663171|34535051|2||||||||||||||||||||||||2
3453505|1|3|3|3142.6663171|34535051|2||||||||||||||||||||||||4
3453506|1|1|1|2276.0783254|34535061|2||||||||||||||||||||||||4
3453506|1|2|2|2276.0783254|34535061|2||||||||||||||||||||||||4
3453507|1|1|1|2900.3480194|34535071|2||||||||||||||||||||||||2
3453509|1|1|1|4767.6481085|34535091|2||||||||||||||||||||||||1
3453510|1|1|1|4470.1318765|34535101|2||||||||||||||||||||||||4
3453511|1|1|1|4267.5984335|34535111|2||||||||||||||||||||||||1
3453511|1|2|2|4267.5984335|34535111|2||||||||||||||||||||||||1
3453511|1|3|3|4267.5984335|34535111|2||||||||||||||||||||||||2
3453512|1|1|1|5575.91394|34535121|2||||||||||||||||||||||||1
3453512|1|2|2|5575.91394|34535121|2||||||||||||||||||||||||1
3453512|1|3|3|5575.91394|34535121|2||||||||||||||||||||||||1
3453513|1|1|1|2917.3576368|34535131|2||||||||||||||||||||||||2
3453513|1|2|2|2917.3576368|34535131|2||||||||||||||||||||||||2
3453513|1|3|3|2917.3576368|34535131|2||||||||||||||||||||||||2
3453513|1|6|6|2917.3576368|34535131|2||||||||||||||||||||||||1
3453514|1|1|1|2167.6936432|34535141|2||||||||||||||||||||||||2
3453514|1|2|2|2167.6936432|34535141|2||||||||||||||||||||||||2
3453515|1|1|1|2709.1708342|34535151|2||||||||||||||||||||||||4
3453516|1|1|1|3918.9881057|34535161|2||||||||||||||||||||||||2
3453516|1|2|2|3918.9881057|34535161|2||||||||||||||||||||||||2
3453516|1|3|3|3918.9881057|34535161|2||||||||||||||||||||||||2
3453516|1|4|4|3918.9881057|34535161|2||||||||||||||||||||||||2
3453516|1|5|5|3918.9881057|34535161|2||||||||||||||||||||||||2
3453516|1|6|6|3918.9881057|34535161|2||||||||||||||||||||||||2
3453518|1|1|1|2023.0613139|34535181|2||||||||||||||||||||||||2
3453518|1|2|2|2023.0613139|34535181|2||||||||||||||||||||||||1
3453519|1|1|1|2464.2143391|34535191|2||||||||||||||||||||||||1
3453519|1|2|2|2464.2143391|34535191|2||||||||||||||||||||||||4
3453519|1|3|3|2464.2143391|34535191|2||||||||||||||||||||||||1
3453519|1|4|4|2464.2143391|34535191|2||||||||||||||||||||||||1
3453520|1|1|1|2406.1104251|34535201|2||||||||||||||||||||||||1
3453520|1|2|2|2406.1104251|34535201|2||||||||||||||||||||||||2
3453520|1|3|3|2406.1104251|34535201|2||||||||||||||||||||||||4
3453521|1|1|1|3679.1250605|34535211|2||||||||||||||||||||||||2
3453521|1|2|2|3679.1250605|34535211|2||||||||||||||||||||||||4
3453522|1|1|1|4155.4629681|34535221|2||||||||||||||||||||||||2
3453523|1|1|1|2081.1652279|34535231|2||||||||||||||||||||||||2
3453523|1|2|2|2081.1652279|34535231|2||||||||||||||||||||||||4
3453523|1|3|3|2081.1652279|34535231|2||||||||||||||||||||||||2
