Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3409700|1|1|1|818.04153158|34097001|2||2||1|1|1|2|2|2|2|2|2||1||98
3409701|1|1|1|626.13553142|34097011|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409706|1|1|1|748.22293855|34097061|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409708|1|1|1|466.44806515|34097081|2||2||1|1|2|2|2|2|2|2|2||1||98
3409709|1|1|1|538.70049841|34097091|2||2||1|1|1|2|2|2|2|1|2||7||800000
3409711|1|1|1|871.24490719|34097111|2||2||1|1|1|2|2|2|2|2|2||1||900000
3409713|1|1|1|413.62749795|34097131|2||2||1|1|2|2|2|2|2|2|2||1||98
3409717|1|1|1|384.10469143|34097171|2||2||1|1|2|2|2|2|2|2|2||1||98
3409720|1|1|1|724.63827141|34097201|2||2||1|1|2|2|2|2|2|2|2||1||98
3409722|1|1|1|219.5168878|34097221|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409723|1|1|1|446.10794325|34097231|2||2||1|1|2|2|2|2|2|2|2||1||98
3409725|1|1|1|684.22772783|34097251|2||2||1|1|1|2|2|2|2|2|2||1||98
3409727|1|1|1|647.50767665|34097271|2||2||1|1|2|2|2|2|2|2|2||1||98
3409730|1|1|1|621.57749816|34097301|2||2||1|1|2|2|2|2|2|2|2||1||98
3409732|1|1|1|761.41110406|34097321|2||2||1|1|2|2|2|2|2|2|2||1||98
3409734|1|1|1|578.44430723|34097341|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409735|1|1|1|883.34684464|34097351|2||2||1|1|2|2|2|2|2|2|2||1||98
3409737|1|1|1|650.1808281|34097371|2||2||1|1|1|2|2|2|2|2|2||1||98
3409739|1|1|1|477.26249763|34097391|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409740|1|1|1|452.17571559|34097401|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3409741|1|1|1|477.22037367|34097411|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409742|1|1|1|365.86147966|34097421|2||2||1|1|2|2|2|2|2|2|2||1||99
3409745|1|1|1|690.4158294|34097451|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409749|1|1|1|442.2041412|34097491|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409750|1|1|1|571.8084135|34097501|2||2||1|1|2|2|2|2|2|2|2||1||5000000
3409751|1|1|1|442.2041412|34097511|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3409752|1|1|1|400.97227015|34097521|2||2||1|1|2|2|2|2|2|2|2||1||99
3409756|1|1|1|117.45689791|34097561|2||2||1|1|2|2|2|2|2|2|2||1||900000
3409757|1|1|1|129.77622022|34097571|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409758|1|1|1|82.682213555|34097581|2||2||1|2|1|2|2|2|2|2|2||2||80000
3409759|1|1|1|83.437431963|34097591|2||2||1|1|2|2|2|2|2|2|2||1||250000
3409760|1|1|1|83.437431963|34097601|2||2||1|2|1|2|2|2|2|1|1||7||99
3409761|1|1|1|101.41172065|34097611|2||2||1|1|2|1|2|2|2|2|2||3||1300000
3409762|1|1|1|118.98120993|34097621|2||2||1|1|2|2|2|2|2|1|2||1||1600000
3409763|1|1|1|124.70234286|34097631|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409764|1|1|1|139.82964037|34097641|2||2||1|1|2|2|2|2|2|2|2||1||1900000
3409765|1|1|1|135.32306452|34097651|2||1|1|1|1|2|2|2|2|2|2|2||1||2600000
3409766|1|1|1|150.62744311|34097661|2||2||1|1|2|2|1|2|2|2|2||1||1400000
3409767|1|1|1|188.87677034|34097671|2||2||2|1|2|2|2|2|2|2|2||1||3000000
3409768|1|1|1|102.89250458|34097681|2||2||1|1|2|2|2|2|2|2|2||1||1280000
3409769|1|1|1|175.1510081|34097691|2||2||1|1|2|2|2|2|2|2|2||1||2100000
3409770|1|1|1|99.330276146|34097701|2||2||1|1|2|2|2|2|2|2|2||1||600000
3409771|1|1|1|175.34504071|34097711|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409772|1|1|1|107.94063212|34097721|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409773|1|1|1|153.50224235|34097731|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409774|1|1|1|153.50224235|34097741|2||2||1|1|2|2|1|2|2|2|2||1||1300000
3409775|1|1|1|144.45864343|34097751|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409776|1|1|1|113.78844035|34097761|2||2||1|1|1|2|2|2|2|2|1||1||400000
3409777|1|1|1|180.02271665|34097771|2||2||1|2|2|2|2|2|2|2|1||8||1300000
3409778|1|1|1|68.245636585|34097781|2||2||1|2|2|1|2|2|2|2|2||3||3400000
3409779|1|1|1|50.368769936|34097791|2||2||1|1|2|1|1|2|2|2|2||3||1900000
3409780|1|1|1|68.245636585|34097801|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409781|1|1|1|72.607553894|34097811|2||2||1|1|2|1|2|2|2|2|2||3||3000000
