Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409664|1|1|1|4245.2243514|34096641|1|2||6|05|4
3409664|1|2|2|4245.2243514|34096641|1|2||6|05|4
3409664|1|3|3|4245.2243514|34096641|1|1|1|4|06|
3409664|1|4|4|4245.2243514|34096641|1|1|1|3|03|
3409665|1|1|1|4294.6364305|34096651|1|2||6|08|5
3409665|1|2|2|4294.6364305|34096651|1|2||6|08|5
3409666|1|1|1|4234.0519678|34096661|1|2||6|03|2
3409667|1|1|1|6518.2695804|34096671|1|2||6|05|4
3409667|1|2|2|6518.2695804|34096671|1|2||6|05|4
3409667|1|3|3|6518.2695804|34096671|1|1|2|3|02|
3409668|1|1|1|6564.9359348|34096681|1|2||6|05|4
3409669|1|1|1|8064.5483988|34096691|1|1|2|6|10|5
3409670|1|1|1|6564.9359348|34096701|1|2||6|05|4
3409673|1|1|1|4606.8680355|34096731|1|2||5|11|2
3409673|1|2|2|4606.8680355|34096731|1|2||5|11|2
3409673|1|3|3|4606.8680355|34096731|1|1|1|5|10|1
3409673|1|4|4|4606.8680355|34096731|1|1|1|4|08|
3409674|1|1|1|5512.6537783|34096741|2|2||1|00|
3409674|1|2|2|5512.6537783|34096741|1|2||5|11|2
3409676|1|1|1|4606.8680355|34096761|1|2||5|11|2
3409676|1|2|2|4606.8680355|34096761|1|2||5|11|2
3409676|1|3|3|4606.8680355|34096761|1|2||5|11|2
3409676|1|4|4|4606.8680355|34096761|1|1|2|6|03|2
3409677|1|1|1|5512.6537783|34096771|1|2||3|05|
3409677|1|2|2|5512.6537783|34096771|1|2||1|00|
3409678|1|1|1|5234.6192596|34096781|1|2||6|07|5
3409678|1|2|2|5234.6192596|34096781|1|2||6|05|4
3409679|1|1|1|7229.0572951|34096791|1|2||4|06|
3409679|1|2|2|7229.0572951|34096791|1|2||6|05|4
3409681|1|1|1|3179.954142|34096811|1|2||6|05|4
3409681|1|2|2|3179.954142|34096811|1|2||6|05|4
3409681|1|3|3|3179.954142|34096811|1|2||6|04|4
3409681|1|4|4|3179.954142|34096811|1|1|2|5|10|1
3409683|1|1|1|5330.4217613|34096831|1|2||3|05|
3409683|1|2|2|5330.4217613|34096831|1|2||6|05|4
3409685|1|3|3|5401.629253|34096851|1|2||6|05|4
3409685|1|1|1|5401.629253|34096851|1|2||6|05|4
3409685|1|2|2|5401.629253|34096851|1|2||6|02|3
3409686|1|1|1|3404.2513093|34096861|1|2||4|08|
3409686|1|2|2|3404.2513093|34096861|1|2||3|05|
3409686|1|3|3|3404.2513093|34096861|1|1|1|6|05|3
3409687|1|1|1|6324.5887734|34096871|1|2||6|05|4
3409687|1|2|2|6324.5887734|34096871|1|2||3|05|
3409687|1|3|3|6324.5887734|34096871|1|2||6|05|4
3409688|1|1|1|6330.6703465|34096881|1|2||5|11|2
3409688|1|2|2|6330.6703465|34096881|1|2||6|05|4
3409690|1|1|1|6955.8296028|34096901|1|2||5|11|2
3409690|1|2|2|6955.8296028|34096901|1|2||5|11|2
3409690|1|3|3|6955.8296028|34096901|1|2||6|02|3
3409691|1|1|1|5974.4936725|34096911|1|1|1|6|05|4
3409691|1|2|2|5974.4936725|34096911|1|2||6|06|4
3409691|1|3|3|5974.4936725|34096911|1|1|1|3|03|
3409693|1|1|1|3590.4178968|34096931|1|2||3|05|
3409693|1|2|2|3590.4178968|34096931|1|2||5|11|2
3409693|1|3|3|3590.4178968|34096931|1|2||6|05|4
3409693|1|4|4|3590.4178968|34096931|1|2||6|05|4
3409693|1|5|5|3590.4178968|34096931|1|2||6|05|4
3409695|1|1|1|4021.3826909|34096951|1|2||6|05|4
3409697|1|1|1|652.21952103|34096971|1|2||6|02|3
3409697|1|2|2|652.21952103|34096971|1|2||6|02|3
3409698|1|1|1|634.50925338|34096981|1|2||4|08|
3409698|1|2|2|634.50925338|34096981|1|2||3|04|
3409699|1|1|1|785.16928302|34096991|1|2||6|02|3
3409699|1|2|2|785.16928302|34096991|1|2||5|11|2
3409699|1|3|3|785.16928302|34096991|2|2||1|00|
3409700|1|1|1|818.04153158|34097001|1|2||3|05|
3409700|1|2|2|818.04153158|34097001|1|2||3|03|
3409701|1|1|1|626.13553142|34097011|1|2||5|11|2
3409701|1|2|2|626.13553142|34097011|1|2||5|11|2
3409701|1|3|3|626.13553142|34097011|1|1|2|6|00|2
3409701|1|4|4|626.13553142|34097011|1|1|1|4|00|
3409701|1|5|5|626.13553142|34097011|1|1|1|3|00|
3409706|1|1|1|748.22293855|34097061|1|2||5|11|2
3409706|1|2|2|748.22293855|34097061|1|2||4|06|
3409706|1|3|3|748.22293855|34097061|1|1|1|4|07|
3409706|1|4|4|748.22293855|34097061|1|1|1|4|00|
3409706|1|5|5|748.22293855|34097061|1|1|1|3|02|
3409708|1|1|1|466.44806515|34097081|1|2||6|02|3
3409708|1|2|2|466.44806515|34097081|1|2||5|11|2
3409708|1|3|3|466.44806515|34097081|1|1|1|3|02|
3409709|1|1|1|538.70049841|34097091|1|2||3|03|
3409709|1|2|2|538.70049841|34097091|2|2||1|00|
3409711|1|1|1|871.24490719|34097111|1|2||6|02|3
