Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3413454|1|3|3|499.93472791|34134541|1|2||5|11|2
3413454|1|4|4|499.93472791|34134541|1|1|2|6|04|2
3413454|1|5|5|499.93472791|34134541|1|2||5|11|2
3413455|1|1|1|189.94759416|34134551|1|2||6|03|3
3413455|1|2|2|189.94759416|34134551|1|1|1|6|02|2
3413455|1|3|3|189.94759416|34134551|1|1|1|3|03|
3413455|1|4|4|189.94759416|34134551|2|2||1|00|
3413456|1|1|1|245.76944168|34134561|1|2||5|11|2
3413456|1|2|2|245.76944168|34134561|1|2||4|07|
3413457|1|1|1|401.17687228|34134571|1|2||5|11|2
3413457|1|2|2|401.17687228|34134571|1|2||5|11|2
3413458|1|1|1|189.94759416|34134581|1|1|2|6|05|2
3413458|1|2|2|189.94759416|34134581|1|1|2|6|02|2
3413459|1|1|1|189.94759416|34134591|1|1|2|6|03|3
3413459|1|2|2|189.94759416|34134591|1|1|2|6|04|3
3413459|1|3|3|189.94759416|34134591|1|1|2|6|00|2
3413460|1|1|1|441.28999073|34134601|1|2||6|03|3
3413460|1|2|2|441.28999073|34134601|1|2||6|03|3
3413460|1|3|3|441.28999073|34134601|1|1|1|6|01|2
3413461|1|1|1|759.79037664|34134611|1|2||5|11|2
3413461|1|2|2|759.79037664|34134611|1|2||6|06|4
3413461|1|3|3|759.79037664|34134611|1|2||3|03|
3413462|1|1|1|212.73497077|34134621|1|2||6|05|4
3413462|1|2|2|212.73497077|34134621|1|2||2|00|
3413462|1|3|3|212.73497077|34134621|1|2||6|02|3
3413463|1|3|3|303.20349928|34134631|1|1|1|4|07|
3413463|1|4|4|303.20349928|34134631|1|1|1|4|06|
3413463|1|5|5|303.20349928|34134631|1|1|1|3|04|
3413463|1|6|6|303.20349928|34134631|2|1|1|2|00|
3413463|1|1|1|303.20349928|34134631|1|2||6|05|4
3413463|1|2|2|303.20349928|34134631|1|2||6|02|3
3413464|1|1|1|134.62194921|34134641|1|2||6|07|5
3413464|1|2|2|134.62194921|34134641|1|2||6|05|4
3413464|1|3|3|134.62194921|34134641|1|1|2|6|01|2
3413465|1|1|1|457.13590463|34134651|1|2||6|07|4
3413466|1|1|1|146.95945443|34134661|1|2||5|11|2
3413466|1|2|2|146.95945443|34134661|1|2||5|11|2
3413467|1|1|1|179.23342927|34134671|1|2||3|05|
3413467|1|2|2|179.23342927|34134671|1|2||3|05|
3413467|1|3|3|179.23342927|34134671|1|2||6|01|3
3413467|1|4|4|179.23342927|34134671|1|1|1|3|05|
3413467|1|5|5|179.23342927|34134671|1|1|1|3|03|
3413468|1|1|1|524.85740108|34134681|1|2||6|02|3
3413468|1|2|2|524.85740108|34134681|1|2||6|02|3
3413469|1|1|1|224.93794045|34134691|1|2||5|11|2
3413469|1|2|2|224.93794045|34134691|1|2||5|11|2
3413469|1|3|3|224.93794045|34134691|1|1|1|5|10|1
3413469|1|4|4|224.93794045|34134691|1|1|1|4|09|
3413471|1|1|1|298.53359571|34134711|1|2||5|11|2
3413471|1|2|2|298.53359571|34134711|1|2||5|11|2
3413471|1|3|3|298.53359571|34134711|1|2||3|02|
3413471|1|4|4|298.53359571|34134711|2|2||1|00|
3413472|1|1|1|565.45774978|34134721|1|2||5|11|2
3413472|1|2|2|565.45774978|34134721|1|2||6|02|3
3413473|1|1|1|803.35316492|34134731|1|2||6|03|3
3413473|1|2|2|803.35316492|34134731|1|1|2|6|05|4
3413474|1|1|1|513.91526699|34134741|1|2||5|11|2
3413474|1|2|2|513.91526699|34134741|1|1|2|6|05|4
3413474|1|3|3|513.91526699|34134741|1|2||6|05|4
3413474|1|4|4|513.91526699|34134741|1|2||2|01|
3413475|1|1|1|253.05518301|34134751|1|2||3|05|
3413475|1|2|2|253.05518301|34134751|1|1|2|6|03|3
3413475|1|3|3|253.05518301|34134751|1|1|1|4|07|
3413475|1|4|4|253.05518301|34134751|1|1|1|3|02|
3413475|1|5|5|253.05518301|34134751|1|1|1|2|00|
3413475|1|6|6|253.05518301|34134751|2|2||1|00|
3413475|1|7|7|253.05518301|34134751|1|2||4|00|
3413476|1|1|1|489.99006901|34134761|1|2||3|02|
3413477|1|1|1|271.94644406|34134771|1|2||6|05|4
3413478|1|1|1|177.55843175|34134781|1|2||6|05|4
3413478|1|2|2|177.55843175|34134781|1|2||3|02|
3413478|1|3|3|177.55843175|34134781|1|2||5|11|2
3413479|1|1|1|241.96864454|34134791|1|2||6|04|3
3413479|1|2|2|241.96864454|34134791|1|2||5|11|2
3413480|1|1|1|174.79680769|34134801|1|2||3|03|
3413480|1|2|2|174.79680769|34134801|1|2||3|05|
3413481|1|1|1|182.62403465|34134811|1|2||3|04|
3413481|1|2|2|182.62403465|34134811|1|2||5|10|1
3413482|1|1|1|337.62044881|34134821|1|2||6|03|3
3413483|1|1|1|261.99657928|34134831|1|2||3|05|
3413484|1|1|1|222.19933181|34134841|1|2||3|05|
3413484|1|2|2|222.19933181|34134841|1|2||3|04|
3413485|1|1|1|308.26933599|34134851|1|2||3|03|
3413485|1|2|2|308.26933599|34134851|1|2||3|02|
3413485|1|3|3|308.26933599|34134851|1|2||3|02|
3413485|1|4|4|308.26933599|34134851|1|2||4|07|
3413485|1|5|5|308.26933599|34134851|1|2||4|08|
3413486|1|1|1|128.89941889|34134861|1|2||5|11|2
3413486|1|2|2|128.89941889|34134861|1|1|1|4|08|
3413486|2|1|1|128.89941889|34134862|1|2||3|01|
3413486|2|2|2|128.89941889|34134862|1|2||3|02|
3413487|1|1|1|154.06264864|34134871|1|2||6|05|4
3413487|1|2|2|154.06264864|34134871|1|2||6|06|5
3413488|1|1|1|147.45955656|34134881|1|2||6|06|4
3413488|1|2|2|147.45955656|34134881|1|2||6|07|5
3413489|1|1|1|100.20233272|34134891|1|2||6|07|5
3413489|1|2|2|100.20233272|34134891|1|2||6|07|5
3413489|1|3|3|100.20233272|34134891|1|2||5|11|2
3413489|1|4|4|100.20233272|34134891|1|2||5|11|2
3413490|1|1|1|149.78927794|34134901|1|2||6|06|5
3413490|1|2|2|149.78927794|34134901|1|1|2|4|07|
3413490|1|3|3|149.78927794|34134901|1|2||6|04|2
3413491|1|1|1|180.47354924|34134911|1|2||6|06|5
3413492|1|1|1|246.88814645|34134921|1|2||6|11|5
3413492|1|2|2|246.88814645|34134921|1|2||6|05|4
3413493|1|1|1|291.10731031|34134931|1|2||3|02|
3413494|1|1|1|291.10731031|34134941|1|2||5|11|2
3413495|1|1|1|184.77723112|34134951|1|2||3|05|
3413495|1|2|2|184.77723112|34134951|1|2||3|05|
3413495|1|3|3|184.77723112|34134951|1|2||6|02|3
3413495|1|4|4|184.77723112|34134951|1|2||5|11|2
3413495|1|5|5|184.77723112|34134951|1|1|2|4|06|
3413495|1|6|6|184.77723112|34134951|2|1|2|1|00|
3413496|1|1|1|354.28504747|34134961|1|2||6|06|5
3413496|1|2|2|354.28504747|34134961|1|2||5|11|2
3413497|1|1|1|392.22984021|34134971|1|2||5|11|2
3413497|1|2|2|392.22984021|34134971|1|2||6|05|4
3413497|1|3|3|392.22984021|34134971|1|1|2|3|04|
3413497|1|4|4|392.22984021|34134971|1|2||3|03|
3413497|1|5|5|392.22984021|34134971|1|1|2|6|00|2
3413498|1|1|1|238.70799445|34134981|2|2||1|00|
3413499|1|1|1|288.10794776|34134991|1|2||3|05|
3413499|1|2|2|288.10794776|34134991|1|2||3|04|
3413499|1|3|3|288.10794776|34134991|1|1|1|4|06|
3413499|1|4|4|288.10794776|34134991|2|2||1|00|
3413500|1|1|1|215.73828654|34135001|1|2||6|05|4
3413500|2|1|1|215.73828654|34135002|1|2||6|05|4
3413501|1|1|1|158.44071788|34135011|1|2||6|02|3
3413501|1|2|2|158.44071788|34135011|1|2||6|05|4
3413501|1|3|3|158.44071788|34135011|1|1|2|5|10|1
3413502|1|1|1|211.35213737|34135021|1|2||6|05|4
3413502|1|2|2|211.35213737|34135021|1|2||6|05|4
3413502|1|3|3|211.35213737|34135021|1|1|2|4|00|
3413503|1|1|1|236.3882072|34135031|1|2||5|11|2
3413503|1|2|2|236.3882072|34135031|1|2||4|07|
3413503|1|3|3|236.3882072|34135031|1|1|1|6|02|2
3413504|1|1|1|193.9481743|34135041|1|2||3|03|
3413504|1|2|2|193.9481743|34135041|1|1|1|4|07|
3413504|1|3|3|193.9481743|34135041|2|1|1|3|02|
3413505|1|1|1|272.04030431|34135051|1|2||5|11|2
3413505|1|2|2|272.04030431|34135051|1|2||5|11|2
3413506|1|1|1|1222.1691648|34135061|1|2||3|05|
3413506|1|2|2|1222.1691648|34135061|1|1|1|5|10|1
3413506|1|3|3|1222.1691648|34135061|1|1|1|4|09|
3413506|1|4|4|1222.1691648|34135061|1|1|1|3|02|
3413507|1|1|1|861.22497541|34135071|1|2||3|05|
3413507|1|2|2|861.22497541|34135071|1|2||3|05|
3413508|1|1|1|904.21296793|34135081|1|2||5|11|2
3413508|1|2|2|904.21296793|34135081|1|2||5|11|2
3413508|1|3|3|904.21296793|34135081|1|1|1|4|09|
3413508|1|4|4|904.21296793|34135081|1|1|1|3|02|
3413509|1|1|1|568.62477191|34135091|1|2||5|11|2
3413509|1|2|2|568.62477191|34135091|1|1|1|4|07|
3413509|1|3|3|568.62477191|34135091|1|2||6|05|4
3413509|1|4|4|568.62477191|34135091|1|1|1|4|06|
3413510|1|4|4|618.42982281|34135101|1|2||5|11|2
3413510|1|1|1|618.42982281|34135101|1|2||4|07|
3413510|1|2|2|618.42982281|34135101|1|2||4|07|
3413510|1|3|3|618.42982281|34135101|1|2||5|11|2
3413511|1|1|1|724.41714314|34135111|1|2||5|11|2
3413511|1|2|2|724.41714314|34135111|1|1|1|4|07|
3413511|1|3|3|724.41714314|34135111|2|1|1|2|00|
3413512|1|1|1|637.32920749|34135121|1|2||4|08|
3413512|1|2|2|637.32920749|34135121|1|2||3|05|
3413512|1|3|3|637.32920749|34135121|1|2||5|11|2
3413513|1|2|2|1778.2865267|34135131|1|2||3|05|
3413513|1|3|3|1778.2865267|34135131|1|1|1|4|07|
3413513|1|5|5|1778.2865267|34135131|1|2||3|05|
3413513|1|6|6|1778.2865267|34135131|2|1|1|2|00|
3413513|1|1|1|1778.2865267|34135131|1|2||3|02|
3413514|1|1|1|614.45620586|34135141|1|2||5|11|2
3413514|1|2|2|614.45620586|34135141|1|2||5|10|1
3413515|1|1|1|528.72731459|34135151|1|2||3|03|
3413515|1|2|2|528.72731459|34135151|1|2||3|05|
3413515|1|3|3|528.72731459|34135151|1|2||6|01|3
3413515|1|4|4|528.72731459|34135151|1|2||6|05|4
3413516|1|1|1|1105.52275|34135161|1|2||5|11|2
3413516|1|2|2|1105.52275|34135161|1|1|1|5|10|1
3413516|1|3|3|1105.52275|34135161|1|1|1|4|07|
3413516|1|4|4|1105.52275|34135161|1|2||3|03|
3413517|1|1|1|822.17031857|34135171|1|2||3|03|
3413519|1|1|1|450.87433309|34135191|1|2||3|05|
3413519|1|2|2|450.87433309|34135191|1|2||3|02|
3413519|1|3|3|450.87433309|34135191|1|2||5|11|2
3413520|1|1|1|1454.2380513|34135201|1|2||6|03|3
3413520|1|2|2|1454.2380513|34135201|1|1|1|3|02|
3413521|1|1|1|450.87433309|34135211|1|2||5|11|2
3413521|1|2|2|450.87433309|34135211|1|2||5|11|2
3413521|1|3|3|450.87433309|34135211|1|1|1|4|00|
3413522|1|1|1|562.27763349|34135221|1|1|1|6|04|4
3413523|1|1|1|625.72132334|34135231|1|2||3|05|
3413523|1|2|2|625.72132334|34135231|1|2||6|07|4
3413524|1|1|1|767.39294423|34135241|1|2||3|05|
3413525|1|1|1|514.85939968|34135251|1|2||3|05|
3413525|1|2|2|514.85939968|34135251|1|2||3|05|
3413525|1|3|3|514.85939968|34135251|1|1|1|6|05|4
3413525|1|4|4|514.85939968|34135251|1|1|1|6|05|4
3413525|1|5|5|514.85939968|34135251|1|1|1|5|11|2
3413526|1|1|1|530.95282512|34135261|1|2||4|09|
3413527|1|1|1|987.00037758|34135271|1|2||5|11|2
3413527|1|2|2|987.00037758|34135271|1|2||5|11|2
3413527|1|3|3|987.00037758|34135271|2|2||1|00|
3413528|1|1|1|420.62273878|34135281|1|2||4|09|
3413528|1|2|2|420.62273878|34135281|1|2||5|11|2
3413529|1|1|1|575.54470817|34135291|1|2||3|03|
3413531|1|1|1|627.3604587|34135311|1|2||4|06|
3413531|1|2|2|627.3604587|34135311|1|2||3|05|
3413533|1|1|1|420.62273878|34135331|1|2||6|03|3
3413533|1|2|2|420.62273878|34135331|1|2||6|05|4
3413535|1|1|1|461.26664544|34135351|1|2||3|05|
3413536|1|1|1|530.95282512|34135361|1|2||6|05|4
3413537|1|1|1|314.36902311|34135371|1|2||6|06|5
3413537|1|2|2|314.36902311|34135371|1|2||6|08|5
3413537|1|3|3|314.36902311|34135371|1|1|2|4|06|
3413538|1|1|1|424.69910945|34135381|1|1|2|6|06|4
3413538|1|2|2|424.69910945|34135381|1|1|2|6|09|5
3413539|1|1|1|1132.617533|34135391|1|2||4|09|
3413539|1|2|2|1132.617533|34135391|1|2||5|11|2
3413540|1|1|1|810.03935139|34135401|1|2||5|11|2
3413540|1|2|2|810.03935139|34135401|1|1|1|6|02|2
3413542|1|1|1|1552.8130581|34135421|1|2||5|11|2
3413542|1|2|2|1552.8130581|34135421|1|2||5|11|2
3413542|1|3|3|1552.8130581|34135421|1|2||5|11|2
3413543|1|1|1|1431.2394409|34135431|1|2||3|03|
3413544|1|1|1|859.62341784|34135441|1|2||5|11|2
3413545|1|1|1|1165.2948021|34135451|1|2||5|11|2
3413546|1|1|1|1289.1508873|34135461|1|2||3|05|
3413546|1|2|2|1289.1508873|34135461|1|2||5|11|2
3413546|1|3|3|1289.1508873|34135461|1|1|1|6|03|2
3413546|1|4|4|1289.1508873|34135461|1|1|1|5|10|1
3413546|2|1|1|1289.1508873|34135462|1|2||3|05|
3413546|3|1|1|1289.1508873|34135463|1|2||3|03|
3413547|1|1|1|1024.4158646|34135471|1|2||3|05|
3413547|1|2|2|1024.4158646|34135471|1|2||3|05|
3413547|1|3|3|1024.4158646|34135471|1|2||6|05|4
3413548|1|1|1|755.05376247|34135481|1|2||6|06|5
3413549|1|1|1|1090.2404933|34135491|1|2||6|05|4
3413549|1|2|2|1090.2404933|34135491|1|2||6|05|4
3413549|1|3|3|1090.2404933|34135491|1|2||5|11|2
3413550|1|2|2|1164.1007228|34135501|1|2||6|05|4
3413550|1|1|1|1164.1007228|34135501|1|2||6|05|4
3413551|1|1|1|931.28632306|34135511|1|2||6|05|4
3413551|1|2|2|931.28632306|34135511|1|2||6|05|4
3413552|1|1|1|655.48139935|34135521|1|2||6|05|4
3413552|1|2|2|655.48139935|34135521|1|1|2|3|04|
3413552|1|3|3|655.48139935|34135521|1|2||5|11|2
3413553|1|1|1|1087.4568409|34135531|1|2||6|09|5
3413553|1|2|2|1087.4568409|34135531|1|2||6|05|4
3413553|1|3|3|1087.4568409|34135531|1|2||3|05|
3413554|1|1|1|752.27011012|34135541|1|2||6|05|4
3413555|1|1|1|931.28632306|34135551|1|2||6|06|5
3413555|1|2|2|931.28632306|34135551|1|2||6|06|5
3413556|1|1|1|1343.1169357|34135561|1|2||6|07|5
3413556|1|2|2|1343.1169357|34135561|1|2||6|07|5
3413556|1|3|3|1343.1169357|34135561|1|2||6|07|5
3413557|1|1|1|818.65852502|34135571|1|2||6|07|5
3413557|1|2|2|818.65852502|34135571|1|1|2|3|01|
3413557|1|3|3|818.65852502|34135571|1|2||5|11|2
3413558|1|1|1|1034.4086492|34135581|1|2||3|05|
3413558|1|2|2|1034.4086492|34135581|1|2||3|05|
3413558|1|3|3|1034.4086492|34135581|1|2||5|11|2
3413559|1|1|1|771.20005981|34135591|1|2||5|11|2
3413559|1|2|2|771.20005981|34135591|1|2||5|11|2
3413559|1|3|3|771.20005981|34135591|2|1|1|3|01|
3413560|1|1|1|586.98011207|34135601|1|2||6|02|3
3413560|1|2|2|586.98011207|34135601|1|2||6|01|3
3413560|1|3|3|586.98011207|34135601|1|1|1|3|01|
3413560|1|5|5|586.98011207|34135601|1|2||4|06|
3413560|1|6|6|586.98011207|34135601|1|2||5|11|2
3413561|1|1|1|949.49946841|34135611|1|2||3|05|
3413562|1|1|1|390.43050347|34135621|1|2||6|05|4
3413562|1|2|2|390.43050347|34135621|1|1|1|6|03|2
3413562|1|3|3|390.43050347|34135621|1|1|1|6|02|2
3413562|1|4|4|390.43050347|34135621|1|1|1|6|01|2
3413562|1|5|5|390.43050347|34135621|1|1|1|6|02|2
3413562|1|6|6|390.43050347|34135621|1|1|1|6|01|2
3413563|1|1|1|1455.4148528|34135631|1|2||6|07|5
3413563|1|2|2|1455.4148528|34135631|1|1|2|6|05|4
3413563|2|1|1|1455.4148528|34135632|1|2||5|11|2
3413563|3|1|1|1455.4148528|34135633|1|2||5|11|2
3413564|1|1|1|1048.5594528|34135641|1|2||5|11|2
3413564|1|2|2|1048.5594528|34135641|1|2||5|11|2
3413564|1|3|3|1048.5594528|34135641|1|2||6|02|3
3413565|1|1|1|838.11232307|34135651|1|1|1|6|03|2
3413565|1|2|2|838.11232307|34135651|1|1|1|6|02|2
3413565|2|1|1|838.11232307|34135652|1|2||6|02|3
3413565|3|1|1|838.11232307|34135653|1|2||6|03|2
3413565|4|1|1|838.11232307|34135654|1|1|1|6|02|2
3413565|4|2|2|838.11232307|34135654|1|1|1|6|00|2
3413566|1|1|1|788.64524656|34135661|1|2||6|02|3
3413566|1|2|2|788.64524656|34135661|1|1|1|5|10|1
3413566|1|3|3|788.64524656|34135661|1|1|1|4|07|
3413567|1|1|1|949.49946841|34135671|1|2||6|02|3
3413568|1|1|1|722.83340673|34135681|1|2||5|11|2
3413568|1|2|2|722.83340673|34135681|1|1|1|6|00|2
3413569|1|1|1|437.1863383|34135691|1|2||6|02|3
3413569|1|2|2|437.1863383|34135691|1|1|1|3|02|
3413570|1|1|1|795.64613346|34135701|1|2||6|03|3
3413570|1|2|2|795.64613346|34135701|1|2||5|11|2
3413571|1|1|1|632.52255462|34135711|1|2||3|03|
3413571|1|2|2|632.52255462|34135711|1|2||5|11|2
3413571|1|3|3|632.52255462|34135711|1|2||5|11|2
3413571|1|4|4|632.52255462|34135711|1|1|1|5|10|1
3413571|1|5|5|632.52255462|34135711|1|2||3|05|
3413572|1|1|1|385.39042837|34135721|1|2||5|11|2
3413572|1|2|2|385.39042837|34135721|1|2||4|06|
3413572|1|3|3|385.39042837|34135721|1|2||3|05|
3413572|2|1|1|385.39042837|34135722|1|2||6|02|3
3413572|2|2|2|385.39042837|34135722|1|2||5|11|2
3413572|2|3|3|385.39042837|34135722|1|1|1|5|10|1
3413572|2|4|4|385.39042837|34135722|1|1|1|4|08|
3413573|1|1|1|692.15777555|34135731|1|2||6|05|4
3413573|1|2|2|692.15777555|34135731|1|2||6|05|4
3413573|1|3|3|692.15777555|34135731|1|1|1|6|03|2
3413573|1|4|4|692.15777555|34135731|1|1|1|4|06|
3413574|1|1|1|60.204183551|34135741|1|2||5|11|2
3413574|1|2|2|60.204183551|34135741|1|2||5|11|2
3413574|1|3|3|60.204183551|34135741|1|2||5|11|2
3413574|1|4|4|60.204183551|34135741|1|1|1|6|00|2
3413574|1|5|5|60.204183551|34135741|1|1|2|4|08|
3413575|1|1|1|210.62995431|34135751|1|2||3|02|
3413575|1|2|2|210.62995431|34135751|1|2||3|02|
3413575|1|3|3|210.62995431|34135751|1|2||5|11|2
3413575|1|4|4|210.62995431|34135751|1|2||4|08|
3413575|1|5|5|210.62995431|34135751|1|1|1|6|06|4
3413575|1|6|6|210.62995431|34135751|1|2||6|05|4
3413576|1|1|1|76.98507102|34135761|1|2||5|11|2
3413576|1|2|2|76.98507102|34135761|1|2||5|11|2
3413576|1|3|3|76.98507102|34135761|1|2||5|11|2
3413577|1|2|2|84.127811109|34135771|1|2||6|07|5
3413577|1|3|3|84.127811109|34135771|1|1|1|4|07|
3413577|1|4|4|84.127811109|34135771|1|1|1|6|04|2
3413577|1|5|5|84.127811109|34135771|1|1|1|5|10|1
3413577|1|1|1|84.127811109|34135771|1|2||6|07|5
3413578|1|1|1|85.670130015|34135781|1|2||6|02|3
3413578|1|2|2|85.670130015|34135781|1|2||6|05|4
3413579|1|1|1|60.204183551|34135791|1|2||3|05|
3413579|1|2|2|60.204183551|34135791|1|2||3|05|
3413579|1|3|3|60.204183551|34135791|1|2||6|02|3
3413579|1|4|4|60.204183551|34135791|1|1|1|6|00|2
3413580|1|1|1|141.10815912|34135801|1|2||5|11|2
3413580|1|2|2|141.10815912|34135801|1|2||3|04|
3413581|1|1|1|60.204183551|34135811|1|2||6|03|3
3413581|1|2|2|60.204183551|34135811|1|2||6|05|4
3413581|1|3|3|60.204183551|34135811|1|1|1|3|05|
3413581|1|4|4|60.204183551|34135811|1|1|1|3|04|
3413582|1|1|1|134.79332202|34135821|1|2||6|02|3
3413582|1|2|2|134.79332202|34135821|1|2||6|02|3
3413583|1|1|1|60.204183551|34135831|1|2||6|02|3
3413584|1|1|1|143.71785789|34135841|1|2||6|05|4
3413584|1|2|2|143.71785789|34135841|1|2||5|11|2
3413584|1|3|3|143.71785789|34135841|1|1|2|6|01|2
3413585|1|1|1|103.47594048|34135851|1|2||6|02|3
3413585|1|2|2|103.47594048|34135851|1|1|1|6|00|2
3413586|1|1|1|288.20520569|34135861|1|2||5|11|2
3413586|1|2|2|288.20520569|34135861|1|2||6|05|4
3413586|1|3|3|288.20520569|34135861|1|1|1|3|01|
3413587|1|1|1|144.58604274|34135871|1|2||6|05|4
3413587|1|3|3|144.58604274|34135871|1|2||5|11|2
3413588|1|1|1|103.47594048|34135881|1|2||6|02|3
3413588|1|2|2|103.47594048|34135881|1|1|2|6|00|2
3413589|1|1|1|136.37767344|34135891|1|2||6|02|3
3413589|1|2|2|136.37767344|34135891|1|1|1|3|04|
3413590|1|1|1|231.67602222|34135901|1|2||5|11|2
3413590|1|2|2|231.67602222|34135901|1|2||5|11|2
3413591|1|1|1|343.75651138|34135911|1|2||5|11|2
3413591|1|2|2|343.75651138|34135911|1|2||5|11|2
3413591|1|3|3|343.75651138|34135911|1|1|2|4|08|
3413591|1|4|4|343.75651138|34135911|2|1|1|2|00|
3413592|1|1|1|186.99257905|34135921|1|2||6|05|4
3413592|1|2|2|186.99257905|34135921|1|2||6|05|4
3413593|1|1|1|276.35946539|34135931|1|2||6|05|4
3413593|1|2|2|276.35946539|34135931|1|2||6|05|4
3413593|1|3|3|276.35946539|34135931|1|1|2|3|03|
3413593|1|4|4|276.35946539|34135931|2|1|2|2|00|
3413594|1|1|1|239.25785787|34135941|1|2||6|02|3
3413594|1|2|2|239.25785787|34135941|1|2||6|02|3
3413594|1|3|3|239.25785787|34135941|1|2||6|03|3
3413594|1|4|4|239.25785787|34135941|1|2||6|05|4
3413594|1|5|5|239.25785787|34135941|1|2||3|01|
3413595|1|1|1|343.16787664|34135951|1|2||6|02|3
3413596|1|1|1|477.40573077|34135961|1|2||6|05|4
3413596|1|2|2|477.40573077|34135961|1|2||6|06|5
3413596|1|3|3|477.40573077|34135961|2|1|2|2|00|
3413597|1|1|1|239.25785787|34135971|1|2||6|05|4
3413597|1|2|2|239.25785787|34135971|1|2||5|11|2
3413598|1|1|1|359.27990804|34135981|1|2||4|08|
3413599|1|1|1|239.25785787|34135991|1|2||6|03|3
3413599|1|2|2|239.25785787|34135991|1|2||5|11|2
3413599|1|3|3|239.25785787|34135991|1|2||3|03|
3413599|1|4|4|239.25785787|34135991|1|2||3|05|
3413600|1|1|1|794.65325362|34136001|1|2||6|03|3
3413600|1|2|2|794.65325362|34136001|1|2||6|05|4
3413600|1|3|3|794.65325362|34136001|1|1|2|4|09|
3413600|1|4|4|794.65325362|34136001|1|1|2|4|06|
3413601|1|1|1|239.25785787|34136011|1|2||5|11|2
3413601|1|2|2|239.25785787|34136011|1|2||6|05|4
3413602|1|1|1|239.25785787|34136021|1|2||6|01|3
3413602|1|2|2|239.25785787|34136021|1|2||6|02|3
3413602|1|3|3|239.25785787|34136021|1|2||6|07|5
3413603|1|1|1|852.8899998|34136031|1|2||6|07|5
3413603|1|2|2|852.8899998|34136031|1|2||6|05|4
3413603|1|3|3|852.8899998|34136031|1|1|2|4|09|
3413603|1|4|4|852.8899998|34136031|1|1|2|3|03|
3413604|1|1|1|326.80536323|34136041|1|2||5|11|2
3413604|1|2|2|326.80536323|34136041|1|2||5|11|2
3413604|1|3|3|326.80536323|34136041|1|2||6|02|3
3413605|1|1|1|473.83344529|34136051|1|2||6|07|5
3413605|1|2|2|473.83344529|34136051|1|2||6|01|3
3413605|1|3|3|473.83344529|34136051|1|2||6|06|5
3413605|1|4|4|473.83344529|34136051|1|2||6|07|5
3413606|1|1|1|244.12609136|34136061|1|2||6|01|3
3413607|1|1|1|222.0600545|34136071|1|2||6|07|5
3413607|1|2|2|222.0600545|34136071|1|2||3|03|
3413607|1|3|3|222.0600545|34136071|1|2||5|11|2
3413608|1|1|1|227.61911355|34136081|1|2||3|05|
3413608|1|2|2|227.61911355|34136081|1|2||5|11|2
3413609|1|1|1|503.86995864|34136091|1|2||5|11|2
3413609|1|2|2|503.86995864|34136091|1|2||5|11|2
3413609|1|3|3|503.86995864|34136091|2|2||1|00|
3413610|1|1|1|248.93092984|34136101|1|2||5|11|2
3413610|1|2|2|248.93092984|34136101|1|2||4|07|
3413610|1|3|3|248.93092984|34136101|1|1|1|3|00|
3413611|1|1|1|222.0600545|34136111|1|2||5|11|2
3413611|1|2|2|222.0600545|34136111|1|2||3|05|
3413611|1|3|3|222.0600545|34136111|1|2||5|11|2
3413612|1|1|1|329.95013251|34136121|1|2||6|05|4
3413612|1|2|2|329.95013251|34136121|2|1|1|2|00|
3413613|1|1|1|267.74636529|34136131|1|2||5|11|2
3413614|1|1|1|186.67371329|34136141|1|2||6|05|4
3413614|1|2|2|186.67371329|34136141|1|2||3|03|
3413614|1|3|3|186.67371329|34136141|1|2||6|05|4
3413615|1|1|1|370.99753902|34136151|1|2||6|09|5
3413615|1|2|2|370.99753902|34136151|1|1|1|6|04|2
3413615|1|3|3|370.99753902|34136151|1|1|1|5|10|1
3413616|1|1|1|372.48139434|34136161|1|2||6|09|5
3413616|1|2|2|372.48139434|34136161|1|1|2|6|04|2
3413616|1|3|3|372.48139434|34136161|2|1|2|2|00|
3413617|1|1|1|362.02325448|34136171|1|2||3|03|
3413618|1|1|1|1009.6155761|34136181|1|2||5|11|2
3413618|1|2|2|1009.6155761|34136181|1|2||6|02|3
3413619|1|1|1|353.39247818|34136191|1|2||6|05|4
3413619|1|2|2|353.39247818|34136191|1|2||4|08|
3413620|1|1|1|967.24187772|34136201|1|2||6|01|3
3413620|1|2|2|967.24187772|34136201|1|1|2|6|04|3
3413620|1|3|3|967.24187772|34136201|1|1|1|4|06|
3413620|1|4|4|967.24187772|34136201|1|1|2|3|00|
3413621|1|1|1|353.39247818|34136211|1|2||4|09|
3413621|1|2|2|353.39247818|34136211|1|2||5|11|2
3413622|1|1|1|487.54623544|34136221|1|2||4|09|
3413622|1|2|2|487.54623544|34136221|1|2||6|03|3
3413623|1|1|1|1009.6155761|34136231|1|2||4|09|
3413623|1|2|2|1009.6155761|34136231|1|1|1|3|00|
3413624|1|1|1|700.98393884|34136241|1|2||5|11|2
3413624|1|2|2|700.98393884|34136241|1|2||4|08|
3413624|1|3|3|700.98393884|34136241|1|1|1|3|02|
3413624|1|4|4|700.98393884|34136241|1|2||4|07|
3413624|1|5|5|700.98393884|34136241|1|2||5|11|2
3413624|2|1|1|700.98393884|34136242|1|2||3|02|
3413624|2|2|2|700.98393884|34136242|1|2||3|05|
