Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3409762|1|1|1|118.98120993|15|1|1|2|1|1|1|1
3409763|1|1|1|124.70234286|15|2|1|2|1|1|1|1
3409764|1|1|1|139.82964037|15|2|1|3|1|1|1|1
3409765|1|1|1|135.32306452|15|2|1|2|1|1|1|1
3409766|1|1|1|150.62744311|15|2|1|2|1|1|1|1
3409767|1|1|1|188.87677034|15|1|1|3|1|1|1|1
3409768|1|1|1|102.89250458|15|2|1|3|1|1|1|1
3409769|1|1|1|175.1510081|15|2|1|2|1|1|1|1
3409770|1|1|1|99.330276146|15|1|1|2|1|1|1|1
3409771|1|1|1|175.34504071|15|1|1|3|1|1|1|1
3409772|1|1|1|107.94063212|15|1|1|3|1|1|1|1
3409773|1|1|1|153.50224235|15|1|1|3|1|1|1|1
3409774|1|1|1|153.50224235|15|2|1|3|1|1|1|1
3409775|1|1|1|144.45864343|15|1|1|2|1|1|1|1
3409776|1|1|1|113.78844035|15|1|1|2|1|1|1|1
3409777|1|1|1|180.02271665|15|1|1|2|1|1|1|1
3409778|1|1|1|68.245636585|15|1|1|3|1|1|1|1
3409779|1|1|1|50.368769936|15|1|1|3|1|1|1|1
3409780|1|1|1|68.245636585|15|1|1|3|1|1|1|1
3409781|1|1|1|72.607553894|15|1|1|3|1|1|1|1
3409782|1|1|1|86.460291053|15|1|1|3|1|1|1|1
3409783|1|1|1|68.245636585|15|1|1|3|1|1|1|1
3409784|1|1|1|100.07310991|15|1|1|3|1|1|1|1
3409785|1|1|1|128.29885886|15|1|1|3|1|1|1|1
3409786|1|1|1|107.54559085|15|1|1|3|1|1|1|1
3409787|1|1|1|158.73905184|15|1|1|3|1|1|1|1
3409788|1|1|1|88.293578796|15|1|1|3|1|1|1|1
3409789|1|1|1|127.73128669|15|1|1|3|1|1|1|1
3409790|1|1|1|88.293578796|15|1|1|3|1|1|1|1
3409791|1|1|1|759.34733388|17|2|1|3|1|1|1|1
3409792|1|1|1|378.69635356|17|2|1|3|1|1|1|1
3409793|1|1|1|759.34733388|17|2|1|3|1|1|1|1
3409794|1|1|1|397.46866161|17|2|1|3|1|1|1|1
3409796|1|1|1|189.83683347|17|2|1|3|1|1|1|1
3409797|1|1|1|522.23351172|17|2|1|3|1|1|1|1
3409798|1|1|1|245.37704664|17|2|1|3|1|1|1|1
3409799|1|1|1|267.72551807|17|2|1|3|1|1|1|1
3409800|1|1|1|700.9360005|17|2|1|3|1|1|1|1
3409801|1|1|1|456.63031631|17|2|1|3|1|1|1|1
3409802|1|1|1|244.01666152|17|2|1|3|1|1|1|1
3409804|1|1|1|349.56586482|17|2|1|3|1|1|1|1
3409805|1|1|1|267.72551807|17|2|1|3|1|1|1|1
3409806|1|1|1|267.72551807|17|2|1|3|1|1|1|1
3409808|1|1|1|412.54648621|17|2|1|1|2|1|1|1
3409809|1|1|1|267.72551807|17|2|1|3|1|1|1|1
3409810|1|1|1|175.23400013|17|1|1|2|1|1|1|1
3409811|1|1|1|282.17816911|17|2|1|2|1|1|1|1
3409812|1|1|1|175.23400013|17|2|1|2|1|1|1|1
3409813|1|1|1|175.23400013|17|1|1|2|1|1|1|1
3409815|1|1|1|265.75202019|17|2|1|2|1|1|1|1
3409816|1|1|1|700.9360005|17|2|1|2|1|1|1|1
3409817|1|1|1|183.009538|17|2|1|2|1|1|1|1
3409818|1|1|1|183.009538|17|2|1|2|1|1|1|1
3409819|1|1|1|265.75202019|17|2|1|2|1|1|1|1
3409820|1|1|1|603.42478234|17|1|1|2|1|1|1|1
3409821|1|1|1|175.23400013|17|2|1|2|1|1|1|1
3409822|1|1|1|308.35766803|17|2|1|2|1|1|1|1
3409823|1|1|1|265.75202019|17|2|1|2|1|1|1|1
3409824|1|1|1|700.9360005|17|2|1|2|1|1|1|1
3409825|1|1|1|700.9360005|17|2|1|2|1|1|1|1
3409826|1|1|1|754.85415439|17|2|1|1|1|1|1|1
3409827|1|1|1|754.85415439|17|1|1|1|1|1|1|1
3409828|1|1|1|625.77448867|17|1|1|1|1|1|1|1
3409829|1|1|1|534.56318613|17|1|1|1|1|1|1|1
3409830|1|1|1|188.7135386|17|1|1|1|1|1|1|1
3409831|1|1|1|378.58085214|17|2|1|1|1|1|1|1
3409832|1|1|1|188.7135386|17|2|1|1|1|1|1|1
3409833|1|1|1|535.51342522|17|2|1|1|1|1|1|1
3409834|1|1|1|303.88418212|17|1|1|1|1|1|1|1
3409835|1|1|1|512.10611588|17|2|1|1|1|1|1|1
3409911|1|1|1|290.36701639|19|2|1|2|1|1|1|1
3409912|1|1|1|199.19611447|19|2|1|2|2|1|1|1
3409913|1|1|1|163.94085999|19|1|1|2|2|1|1|1
3409914|1|1|1|118.44104504|19|2|1|2|2|1|1|1
3409915|1|1|1|149.93555929|19|1|1|2|2|1|1|1
3409916|1|1|1|198.14553262|19|1|1|2|2|1|1|1
3409917|1|1|1|220.70988133|19|1|1|2|1|1|1|1
3409918|1|1|1|248.75465984|19|1|1|2|2|1|1|1
3409919|1|1|1|158.17709334|19|1|1|2|2|1|1|1
3409920|1|1|1|138.41513792|19|1|1|3|1|1|1|1
3409921|1|1|1|124.52849074|19|1|1|3|1|1|1|1
3409922|1|1|1|220.09523569|19|1|1|3|1|1|1|1
3409923|1|1|1|138.41513792|19|1|1|3|1|1|1|1
3409924|1|1|1|115.57697093|19|1|1|3|1|1|1|1
3409925|1|1|1|105.80455683|19|1|1|3|1|1|1|1
3409926|1|1|1|174.42999937|19|1|1|3|1|1|1|1
3409927|1|1|1|161.25330491|19|1|1|3|1|1|1|1
3409928|1|1|1|160.60957928|19|1|1|3|2|1|1|1
3409929|1|1|1|222.06542562|19|1|1|3|2|1|1|1
3409930|1|1|1|217.09168656|19|2|1|3|2|1|1|1
3409931|1|1|1|162.414371|19|1|1|2|1|1|1|1
3409932|1|1|1|170.45276266|19|1|1|2|1|1|1|1
3409933|1|1|1|106.43358849|19|2|1|2|1|1|1|1
3409934|1|1|1|85.836342191|19|1|1|3|1|1|1|1
3409935|1|1|1|151.18811863|19|2|1|2|1|1|1|1
3409936|1|1|1|175.86064526|19|2|1|2|1|1|1|1
3409937|1|1|1|115.34594827|19|1|1|4|1|1|1|1
3409938|1|1|1|176.72177792|19|2|1|4|1|1|1|1
3409939|1|1|1|131.81035919|19|1|1|4|1|1|1|1
3409940|1|1|1|85.836342191|19|1|1|4|1|1|1|1
3409941|1|1|1|203.3288904|19|1|1|4|1|1|1|1
3409942|1|1|1|115.34594827|19|2|1|4|1|1|1|1
3409943|1|1|1|172.53381705|19|2|1|4|1|1|1|1
3409944|1|1|1|115.34594827|19|1|1|4|2|1|1|1
3409945|1|1|1|201.67971893|19|1|1|2|1|1|1|1
3409946|1|1|1|183.64959726|19|2|1|2|2|1|1|1
3409947|1|1|1|231.11056229|19|1|1|2|2|1|1|1
3409948|1|1|1|227.68985356|19|2|1|2|1|1|1|1
3409949|1|1|1|221.96630703|19|2|1|2|2|1|1|1
3409950|1|1|1|272.93604509|19|2|1|2|1|1|1|1
3409951|1|1|1|279.83647293|19|1|1|2|1|1|1|1
3409952|1|1|1|183.64959726|19|2|1|2|2|1|1|1
3409953|1|1|1|335.40035713|19|1|1|2|1|1|1|1
3409954|1|1|1|335.9808042|19|2|1|2|1|1|1|1
3409955|1|1|1|263.92335287|19|1|1|2|1|1|1|1
3409956|1|1|1|358.87802209|19|2|1|2|1|1|1|1
3409957|1|1|1|341.19984313|19|2|1|2|1|1|1|1
3409958|1|1|1|249.44076824|19|2|1|2|1|1|1|1
3409959|1|1|1|280.3674527|19|2|1|2|1|1|1|1
3409960|1|1|1|241.61338665|19|1|1|2|1|1|1|1
3410022|1|1|1|312.14644928|23|2|1|2|1|1|1|1
3410023|1|1|1|377.81980206|23|2|1|2|1|2|1|1
3410024|1|1|1|389.4521497|23|2|1|2|1|1|1|1
3410025|1|1|1|172.06639858|23|2|1|2|1|1|1|1
3410026|1|1|1|257.74668825|23|2|1|2|1|1|1|1
3410027|1|1|1|290.58336464|23|2|1|2|1|1|1|1
3410028|1|1|1|170.12276658|23|1|1|2|1|1|1|1
3410029|1|1|1|330.94786902|23|2|1|2|1|1|1|1
3410030|1|1|1|113.79005593|23|2|1|2|1|1|1|1
3410031|1|1|1|522.48579623|23|2|1|2|1|1|1|1
3410032|1|1|1|413.62340055|23|2|1|2|1|1|1|1
3410033|1|1|1|469.34089622|23|2|1|2|1|1|1|1
3410034|1|1|1|712.88023674|23|2|1|2|1|1|1|1
3410035|1|1|1|631.66692536|23|1|1|2|1|1|1|1
3410036|1|1|1|119.66541496|23|1|1|1|1|1|1|1
3410037|1|1|1|215.94683812|23|1|1|1|1|1|1|1
3410038|1|1|1|305.48351358|23|1|1|1|1|1|1|1
3410039|1|1|1|180.18082158|23|1|1|1|1|1|1|1
3410040|1|1|1|228.38314148|23|1|1|1|1|1|1|1
3410041|1|1|1|147.77415788|23|1|1|1|1|1|1|1
3410042|1|1|1|163.17799527|23|1|1|1|1|1|1|1
3410043|1|1|1|126.3356423|23|1|1|1|1|1|1|1
3410045|1|1|1|293.51185601|23|2|1|1|2|1|1|1
3410046|1|1|1|158.38183417|23|2|1|1|1|1|1|1
3410047|1|1|1|239.49537229|23|2|1|1|1|1|1|1
3410048|1|1|1|158.38183417|23|2|1|1|1|1|1|1
3410049|1|1|1|239.49537229|23|1|1|1|1|1|1|1
3410050|1|1|1|228.27186061|23|1|1|1|1|1|1|1
3410051|1|1|1|525.87893336|23|2|1|1|1|1|1|1
3410052|1|1|1|390.82766901|23|2|1|1|1|1|1|1
3410053|1|1|1|358.75185141|23|2|1|1|1|1|1|1
3410054|1|1|1|233.14714726|23|1|1|1|1|1|1|1
3410055|1|1|1|435.41611982|23|1|1|1|1|1|1|1
3410056|1|1|1|228.69584622|23|1|1|1|1|1|1|1
3410057|1|1|1|323.92025719|23|2|1|1|1|1|1|1
3410058|1|1|1|604.95979101|23|1|1|1|1|1|1|1
3410059|1|1|1|414.87819209|23|1|1|1|1|1|1|1
3410060|1|1|1|151.23994775|23|2|1|1|1|1|1|1
3410061|1|1|1|157.97160156|23|2|1|1|1|1|1|1
3410062|1|1|1|151.23994775|23|2|1|1|1|1|1|1
3410063|1|1|1|151.23994775|23|2|1|1|1|1|1|1
3410064|1|1|1|196.48718308|23|1|1|1|1|1|1|1
3410065|1|1|1|151.23994775|23|1|1|1|1|1|1|1
3410066|1|1|1|173.8456088|23|2|1|1|1|1|1|1
3410067|1|1|1|127.64310929|23|2|1|1|1|1|1|1
3410068|1|1|1|121.74318136|23|2|1|1|1|1|1|1
3410070|1|1|1|107.54840729|23|2|1|1|1|1|1|1
3410071|1|1|1|214.47477654|23|2|1|1|1|1|1|1
3410072|1|1|1|365.14759098|23|2|1|1|1|1|1|1
3410073|1|1|1|107.54840729|23|2|1|1|1|1|1|1
3410074|1|1|1|248.64072554|27|1|1|1|2|2|1|1
3410075|1|1|1|62.160181386|27|2|1|1|2|2|1|1
3410076|1|1|1|161.24026521|27|2|1|1|2|2|1|1
3410077|1|1|1|69.447943395|27|1|1|1|2|2|1|1
3410078|1|1|1|62.160181386|27|1|1|1|2|2|1|1
3410079|1|1|1|164.66687981|27|1|1|1|2|2|1|1
3410080|1|1|1|62.160181386|27|1|1|1|2|2|1|1
3410081|1|1|1|62.160181386|27|1|1|1|2|2|1|1
3410082|1|1|1|180.92983819|27|4|1|1|2|2|1|1
3410083|1|1|1|60.081564954|27|2|1|1|2|2|1|1
3410084|1|1|1|81.704828917|27|2|1|1|2|2|1|1
3410086|1|1|1|86.280464631|27|2|1|1|2|2|1|1
3410087|1|1|1|45.955676123|27|2|1|1|2|2|1|1
3410088|1|1|1|41.133157065|27|2|1|1|2|2|1|1
3410089|1|1|1|119.05104676|27|2|1|1|2|2|1|1
3410090|1|1|1|53.262693993|27|2|1|1|2|2|1|1
3410091|1|1|1|164.53262826|27|2|1|1|2|2|1|1
3410092|1|1|1|41.133157065|27|2|1|1|2|2|1|1
3410093|1|1|1|84.235555981|27|2|1|1|2|2|1|1
3410094|1|1|1|41.133157065|27|2|1|1|2|2|1|1
3410095|1|1|1|41.133157065|27|2|1|1|2|2|1|1
3410096|1|1|1|67.306027099|27|2|1|1|2|2|1|1
3410097|1|1|1|61.73150524|27|2|1|1|2|2|1|1
3410098|1|1|1|59.560077527|27|2|1|1|2|2|1|1
3410099|1|1|1|66.483698924|27|2|1|1|2|2|1|1
3410100|1|1|1|66.483698924|27|2|1|1|2|2|1|1
3410101|1|1|1|55.253494565|27|2|1|1|2|2|1|1
3410102|1|1|1|192.10016407|27|2|1|1|2|2|1|1
3410103|1|1|1|90.411081178|27|2|1|1|2|2|1|1
3410104|1|1|1|52.797783696|27|2|1|1|2|2|1|2
3410105|1|1|1|100.7573952|27|2|1|1|2|2|1|2
3410106|1|1|1|52.797783696|27|2|1|1|2|2|1|2
3410107|1|1|1|178.72420682|27|2|1|1|2|2|1|2
3410108|1|1|1|52.797783696|27|2|1|1|2|2|1|2
3410110|1|1|1|52.797783696|27|2|1|1|2|2|1|2
3410111|1|1|1|230.08121839|27|1|1|1|2|2|1|1
3410112|1|1|1|57.520304599|27|2|1|1|2|2|1|1
3410113|1|1|1|75.135847436|27|1|1|1|2|2|1|1
3410114|1|1|1|62.003567887|27|2|1|1|2|2|1|1
3410115|1|1|1|81.53952176|27|2|1|1|2|2|1|1
3410116|1|1|1|58.993155192|27|2|1|1|2|2|1|1
3410117|1|1|1|162.59358597|27|1|1|1|2|2|1|1
3410118|1|1|1|199.25048239|27|2|1|1|2|2|1|1
3410119|1|1|1|230.08121839|27|2|1|1|2|2|1|1
3410120|1|1|1|57.520304599|27|2|1|1|2|2|1|1
3410121|1|1|1|131.35301046|27|2|1|1|2|2|1|1
3410122|1|1|1|136.62393508|27|2|1|1|2|2|1|1
3410123|1|1|1|171.75103363|27|1|1|1|2|2|1|1
3410124|1|1|1|48.754712545|27|1|1|1|2|2|1|2
3410125|1|1|1|40.519229348|27|1|1|1|2|2|1|2
3410126|1|1|1|92.529460572|27|1|1|1|2|2|1|2
3410127|1|1|1|162.07691739|27|1|1|1|2|2|1|2
3410128|1|1|1|132.08311543|27|2|1|1|2|2|1|2
3410129|1|1|1|132.08311543|27|1|1|1|2|2|1|2
3410130|1|1|1|140.19505554|27|1|1|1|2|2|1|2
3410131|1|1|1|77.325442829|27|1|1|1|2|2|1|2
3410132|1|1|1|91.851062457|27|1|1|1|2|2|1|2
3410133|1|1|1|331.32519151|41|1|1|1|1|1|1|1
3410134|1|1|1|432.76276719|41|1|1|1|1|1|1|1
3410135|1|1|1|220.54450465|41|2|1|1|1|1|1|1
3410136|1|1|1|292.14802467|41|1|1|1|1|1|1|1
3410137|1|1|1|331.32519151|41|1|1|1|1|1|1|1
3410138|1|1|1|342.24569282|41|2|1|2|1|1|1|1
3410139|1|1|1|223.83602122|41|1|1|2|1|1|1|1
3410140|1|1|1|246.26151349|41|2|1|2|1|1|1|1
3410141|1|1|1|216.11163274|41|1|1|2|1|1|1|1
3410142|1|1|1|137.21960415|41|2|1|2|1|1|1|1
3410143|1|1|1|199.72060197|41|2|1|2|1|1|1|1
3410145|1|1|1|137.21960415|41|1|1|2|1|1|1|1
3410146|1|1|1|196.03955969|41|1|1|2|1|1|1|1
3410147|1|1|1|196.03955969|41|1|1|2|1|1|1|1
3410148|1|1|1|326.35043973|41|1|1|2|1|1|1|1
3410149|1|1|1|430.38991869|41|1|1|2|1|1|1|1
3410150|1|1|1|252.46084151|41|1|1|2|1|1|1|1
3410151|1|1|1|257.21250426|41|1|1|2|1|1|1|1
3410152|1|1|1|196.03955969|41|1|1|2|1|1|1|1
3410153|1|1|1|252.46084151|41|2|1|2|1|1|1|1
3410154|1|1|1|137.21960415|41|1|1|2|1|1|1|1
3410155|1|1|1|352.16622288|41|2|1|2|1|1|1|1
3410156|1|1|1|211.19654912|41|2|1|2|1|1|1|1
3410157|1|1|1|352.16622288|41|1|1|2|1|1|1|1
3410159|1|1|1|150.94156456|41|1|1|2|1|1|1|1
3410160|1|1|1|285.65584634|41|1|1|2|1|1|1|1
3410161|1|1|1|150.94156456|41|1|1|2|1|1|1|1
3410162|1|1|1|150.94156456|41|2|1|2|1|1|1|1
3410163|1|1|1|263.84604421|41|1|1|2|1|1|1|1
3410164|1|1|1|234.04730267|41|1|1|2|1|1|1|1
3410165|1|1|1|280.63853632|41|1|1|2|1|1|1|1
3410166|1|1|1|330.41336463|41|1|1|2|1|1|1|1
3410167|1|1|1|203.82919102|41|1|1|2|1|1|1|1
3410168|1|1|1|137.21960415|41|1|1|2|1|1|1|1
3410169|1|1|1|170.39972933|41|1|1|2|1|1|1|1
3410170|1|1|1|273.05518645|41|2|1|1|1|1|1|1
3410171|1|1|1|524.17585573|41|2|1|1|1|1|1|1
3410172|1|1|1|491.43341893|41|2|1|1|1|1|1|1
3410173|1|1|1|343.5964949|41|2|1|1|1|1|1|1
3410174|1|1|1|228.71281964|41|2|1|1|1|1|1|1
3410175|1|1|1|466.23676317|41|2|1|1|1|1|1|1
3410176|1|1|1|227.87871807|41|1|1|2|1|1|1|1
3410177|1|1|1|280.63853632|41|1|1|2|1|1|1|1
3410178|1|1|1|170.39972933|41|1|1|2|1|1|1|1
3410179|1|1|1|501.11615029|41|1|1|2|1|1|1|1
3410180|1|1|1|309.95940895|41|1|1|2|1|1|1|1
3410181|1|1|1|391.90777216|41|2|1|2|1|1|1|1
3410182|1|1|1|420.08546697|41|1|1|2|1|1|1|1
3410183|1|1|1|159.71057898|41|1|1|1|1|1|1|1
3410184|1|1|1|170.39972933|41|1|1|2|1|1|1|1
3410185|1|1|1|137.21960415|41|1|1|2|1|1|1|1
3410186|1|1|1|320.15111171|41|1|1|1|1|1|1|1
3410188|1|1|1|220.17455765|41|1|1|1|1|1|1|1
3410189|1|1|1|170.39972933|41|2|1|1|1|1|1|1
3410190|1|1|1|356.50032047|41|2|1|2|1|1|1|1
3410191|1|1|1|171.54290716|41|2|1|2|1|1|1|1
3410192|1|1|1|420.08546697|41|2|1|1|1|1|1|1
3410193|1|1|1|211.546265|41|1|1|1|2|1|1|1
3410194|1|1|1|222.34816433|41|1|1|1|2|1|1|1
3410195|1|1|1|270.97981482|41|1|1|1|2|1|1|1
3410196|1|1|1|137.21960415|41|1|1|1|2|1|1|1
3410197|1|1|1|252.46084151|41|1|1|1|2|1|1|1
3410198|1|1|1|137.21960415|41|1|1|1|2|1|1|1
3410199|1|1|1|398.55076031|41|1|1|1|2|1|1|1
3410200|1|1|1|370.42338762|41|1|1|1|2|1|1|1
3410201|1|1|1|137.21960415|41|1|1|1|2|1|1|1
3410202|1|1|1|91.641838254|44|1|1|2|1|1|1|1
3410203|1|1|1|58.113530212|44|1|1|2|1|1|1|1
3410204|1|1|1|101.94736245|44|1|1|2|1|1|1|1
3410205|1|1|1|88.492704817|44|1|1|2|1|1|1|1
3410206|1|1|1|65.894087338|44|2|1|2|1|1|1|1
3410207|1|1|1|87.417031961|44|2|1|2|1|1|1|1
3410208|1|1|1|97.604131903|44|2|1|1|1|1|1|1
3410209|1|1|1|160.27726427|44|3|1|1|2|1|1|1
3410210|1|1|1|157.5553066|44|2|1|1|1|1|1|1
3410211|1|1|1|110.55409199|44|2|1|1|1|1|1|1
3410212|1|1|1|130.22039767|44|1|1|1|1|1|1|1
3410213|1|1|1|120.69312385|44|2|1|1|1|1|1|1
3410214|1|1|1|124.63253645|44|2|1|1|2|1|1|1
3410215|1|1|1|54.485821495|44|1|1|1|1|2|1|1
3410216|1|1|1|144.45760647|44|2|1|1|1|1|1|1
3410217|1|1|1|54.485821495|44|1|1|1|1|2|1|1
3410219|1|1|1|54.485821495|44|1|1|1|1|1|1|1
3410220|1|1|1|153.54989437|44|1|1|1|1|1|1|1
3410221|1|1|1|63.345095873|44|1|1|2|1|1|1|1
3410222|1|1|1|134.22960407|44|2|1|1|2|1|1|1
3410223|1|1|1|101.46180409|44|2|1|1|1|1|1|1
3410224|1|1|1|106.89469514|44|1|1|2|1|1|1|1
3410225|1|1|1|172.97948947|44|1|1|2|1|1|1|1
3410226|1|1|1|182.23054171|44|1|1|1|1|1|1|1
3410227|1|1|1|70.257390345|44|1|1|2|1|1|1|1
3410228|1|1|1|98.743640581|44|3|1|2|2|1|1|1
3410229|1|1|1|101.46180409|44|2|1|2|1|1|1|1
3410230|1|1|1|80.485392754|44|1|1|2|1|1|1|1
3410231|1|1|1|81.079143016|44|1|1|2|1|1|1|1
3410232|1|1|1|144.45760647|44|2|1|2|1|1|1|1
3410233|1|1|1|57.753440485|44|2|1|2|1|1|1|1
3410234|1|1|1|67.981442893|44|1|1|2|1|1|1|1
3410235|1|1|1|61.254072994|44|1|1|2|1|1|1|1
3410236|1|1|1|61.254072994|44|2|1|2|1|1|1|1
3410237|1|1|1|124.63253645|44|4|1|2|1|1|1|1
3410238|1|1|1|98.743640581|44|3|1|2|1|1|1|1
3410239|1|1|1|177.38037662|44|2|1|1|1|1|2|1
3410240|1|1|1|91.23380168|44|2|1|1|1|2|2|1
3410241|1|1|1|114.55950421|44|2|1|1|1|2|1|1
3410242|1|1|1|126.21498545|44|1|1|1|2|2|2|2
3410243|1|1|1|90.098087169|44|1|1|1|2|2|2|2
3410244|1|1|1|176.09692207|44|1|1|1|2|2|2|2
