Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3438058|1|3|3|499.42321868|34380581|1||||||||||
3438058|1|4|4|499.42321868|34380581|1||||||||||
3438058|1|5|5|499.42321868|34380581|1||||||||||
3438058|1|6|6|499.42321868|34380581|3|2|2|2|2|2|||||
3438058|1|8|8|499.42321868|34380581|1||||||||||
3438059|1|1|1|419.13375777|34380591|4|2|2|2|2|2|||||
3438060|1|1|1|449.74204005|34380601|1||||||||||
3438060|1|2|2|449.74204005|34380601|3|2|2|2|2|2|||||
3438060|1|3|3|449.74204005|34380601|3|2|2|2|2|2|||||
3438061|1|1|1|596.26798483|34380611|1||||||||||
3438061|1|2|2|596.26798483|34380611|1||||||||||
3438062|1|1|1|259.61143509|34380621|4|2|2|2|2|2|||||
3438062|1|2|2|259.61143509|34380621|1||||||||||
3438062|1|3|3|259.61143509|34380621|1||||||||||
3438063|1|2|2|371.40299065|34380631|4|2|2|2|2|2|||||
3438063|1|1|1|371.40299065|34380631|1||||||||||
3438064|1|3|3|634.58315975|34380641|3|2|2|2|2|2|||||
3438064|1|1|1|634.58315975|34380641|4|2|2|2|2|2|||||
3438064|1|2|2|634.58315975|34380641|1||||||||||
3438065|1|1|1|376.11078675|34380651|1||||||||||
3438066|1|1|1|595.39419503|34380661|1||||||||||
3438066|1|2|2|595.39419503|34380661|1||||||||||
3438067|1|1|1|367.56898435|34380671|1||||||||||
3438067|1|2|2|367.56898435|34380671|1||||||||||
3438067|1|3|3|367.56898435|34380671|3|2|2|2|2|2|||||
3438068|1|1|1|367.56898435|34380681|1||||||||||
3438068|1|2|2|367.56898435|34380681|4|2|2|2|2|2|||||
3438068|1|3|3|367.56898435|34380681|3|2|2|2|2|2|||||
3438069|1|1|1|406.47589605|34380691|1||||||||||
3438070|1|1|1|384.93464217|34380701|4|2|2|2|2|2|||||
3438070|1|2|2|384.93464217|34380701|1||||||||||
3438071|1|1|1|424.51232108|34380711|1||||||||||
3438071|1|2|2|424.51232108|34380711|4|2|2|2|2|2|||||
3438071|1|3|3|424.51232108|34380711|1||||||||||
3438071|1|4|4|424.51232108|34380711|1||||||||||
3438071|1|5|5|424.51232108|34380711|1||||||||||
3438072|1|1|1|647.20214144|34380721|1||||||||||
3438072|1|2|2|647.20214144|34380721|4|2|2|2|1||||||1
3438073|1|1|1|339.37259643|34380731|4|2|2|2|2|2|||||
3438073|1|2|2|339.37259643|34380731|4|2|2|2|2|2|||||
3438074|1|1|1|371.40299065|34380741|1||||||||||
3438074|1|2|2|371.40299065|34380741|4|2|2|2|2|2|||||
3438076|1|1|1|334.66480033|34380761|4|2|2|2|2|2|||||
3438076|1|2|2|334.66480033|34380761|4|2|2|2|2|2|||||
3438076|1|3|3|334.66480033|34380761|1||||||||||
3438077|1|1|1|376.11078675|34380771|1||||||||||
3438078|1|1|1|401.76809995|34380781|4|2|2|2|2|2|||||
3438078|1|2|2|401.76809995|34380781|3|2|2|2|2|2|||||
3438079|1|1|1|322.00693861|34380791|1||||||||||
3438079|1|2|2|322.00693861|34380791|4|2|2|2|2|2|||||
3438079|1|3|3|322.00693861|34380791|3|2|2|2|2|2|||||
3438080|1|1|1|305.17348083|34380801|4|2|2|2|2|2|||||
3438080|1|2|2|305.17348083|34380801|4|2|2|2|2|2|||||
3438080|1|3|3|305.17348083|34380801|1||||||||||
3438081|1|1|1|367.56898435|34380811|1||||||||||
3438081|1|2|2|367.56898435|34380811|1||||||||||
3438081|1|3|3|367.56898435|34380811|3|1|||||||||
3438082|1|1|1|497.61834838|34380821|1||||||||||
3438082|1|2|2|497.61834838|34380821|3|2|2|2|2|2|||||
3438083|1|1|1|330.54874101|34380831|1||||||||||
3438084|1|1|1|450.51819808|34380841|3|2|2|2|2|2|||||
3438086|1|1|1|424.46056074|34380861|4|1|||||||||
3438086|1|2|2|424.46056074|34380861|1||||||||||
3438087|1|1|1|523.75296281|34380871|1||||||||||
3438089|1|1|1|433.80673389|34380891|1||||||||||
3438089|1|2|2|433.80673389|34380891|4|2|2|2|2|2|||||
3438089|1|3|3|433.80673389|34380891|1||||||||||
3438090|1|1|1|424.46056074|34380901|1||||||||||
3438090|1|2|2|424.46056074|34380901|4|2|2|2|2|2|||||
3438091|1|1|1|348.76969238|34380911|5||||||||||
3438091|1|2|2|348.76969238|34380911|4|2|2|2|2|2|||||
3438091|1|3|3|348.76969238|34380911|1||||||||||
3438092|1|1|1|483.66964235|34380921|2|2|2|2|1||||||1
3438092|1|2|2|483.66964235|34380921|1||||||||||
3438094|1|1|1|542.87872396|34380941|1||||||||||
3438094|1|2|2|542.87872396|34380941|4|2|2|2|2|2|||||
3438097|1|1|1|416.31908248|34380971|1||||||||||
3438097|1|2|2|416.31908248|34380971|3|2|2|2|2|2|||||
3438098|1|1|1|398.80788344|34380981|1||||||||||
3438098|1|2|2|398.80788344|34380981|1||||||||||
3438098|1|3|3|398.80788344|34380981|1||||||||||
3438099|1|1|1|450.51819808|34380991|1||||||||||
3438100|1|1|1|376.11078675|34381001|1||||||||||
3438101|1|1|1|411.61128637|34381011|4|2|2|2|2|2|||||
3438101|1|2|2|411.61128637|34381011|1||||||||||
3438101|1|3|3|411.61128637|34381011|1||||||||||
3438102|1|1|1|481.3109016|34381021|1||||||||||
3438102|1|2|2|481.3109016|34381021|1||||||||||
3438102|1|3|3|481.3109016|34381021|3|2|2|2|2|2|||||
3438102|1|4|4|481.3109016|34381021|3|2|2|2|2|2|||||
3438103|1|1|1|421.55210457|34381031|1||||||||||
3438103|1|2|2|421.55210457|34381031|1||||||||||
3438103|1|3|3|421.55210457|34381031|1||||||||||
3438103|1|4|4|421.55210457|34381031|2|2|2|2|1||||||1
3438103|1|5|5|421.55210457|34381031|1||||||||||
3438103|1|6|6|421.55210457|34381031|1||||||||||
3438104|1|1|1|553.94820861|34381041|1||||||||||
3438104|1|2|2|553.94820861|34381041|1||||||||||
3438104|1|3|3|553.94820861|34381041|1||||||||||
3438104|1|5|5|553.94820861|34381041|1||||||||||
3438105|1|1|1|424.08472686|34381051|1||||||||||
3438105|1|2|2|424.08472686|34381051|1||||||||||
3438106|1|1|1|401.76809995|34381061|1||||||||||
3438106|1|2|2|401.76809995|34381061|3|2|2|2|2|2|||||
