Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3469523|1|1|1|1033.7337774|08|2|1|3|1|1|1|1
3469524|1|1|1|1008.7233775|08|2|1|1|1|1|1|1
3469525|1|1|1|853.96982508|08|2|1|1|1|1|1|1
3469526|1|1|1|1113.6618642|08|2|1|1|1|1|1|1
3469527|1|1|1|869.49177794|08|2|1|1|1|1|1|1
3469528|1|1|1|1114.6492028|08|2|1|1|2|1|1|1
3469529|1|1|1|1796.1859053|08|2|1|1|1|1|1|1
3469530|1|1|1|961.81611106|08|2|1|1|1|1|1|1
3469531|1|1|1|1442.2815111|08|1|1|1|1|1|1|1
3469533|1|1|1|1479.7170939|08|2|1|0|1|1|1|1
3469534|1|1|1|1889.6142348|08|2|1|0|1|1|1|1
3469535|1|1|1|1479.7170939|08|1|1|0|1|1|1|1
3469536|1|1|1|1796.1540311|08|1|1|0|2|1|1|1
3469537|1|1|1|1551.8821192|08|2|1|1|1|1|1|1
3469538|1|1|1|1496.7507616|08|1|1|0|1|1|1|1
3469539|1|1|1|2221.8491873|08|2|1|0|1|1|1|1
3469540|1|1|1|953.92045349|08|1|1|2|1|1|1|1
3469541|1|1|1|2269.615927|08|2|1|2|1|1|1|1
3469542|1|1|1|666.37945412|08|2|1|2|1|1|1|1
3469543|1|1|1|2476.5083098|08|2|1|2|1|1|1|1
3469544|1|1|1|988.54953431|08|2|1|1|1|1|1|1
3469545|1|1|1|521.51435539|08|2|1|1|1|1|1|1
3469546|1|1|1|2067.7656629|08|2|1|1|1|1|1|1
3469547|1|1|1|1452.7123366|08|2|1|1|1|1|1|1
3469548|1|1|1|1480.9144236|08|2|1|1|1|1|1|1
3469549|1|1|1|548.56087608|08|2|1|1|1|1|1|1
3469550|1|1|1|1554.7042013|08|2|1|1|1|1|1|1
3469551|1|1|1|521.51435539|08|2|1|1|1|1|1|1
3469552|1|1|1|521.51435539|08|2|1|1|1|1|1|1
3469553|1|1|1|814.73811256|08|2|1|1|1|1|1|1
3469554|1|1|1|1239.4631353|08|2|1|1|1|1|1|1
3469555|1|1|1|856.01283435|08|2|1|1|1|1|1|1
3469556|1|1|1|2194.7258226|08|2|1|1|1|1|1|1
3469557|1|1|1|1886.9075984|08|2|1|1|1|1|1|1
3469558|1|1|1|2192.7964285|08|2|1|1|1|1|1|1
3469559|1|1|1|680.4005059|08|2|1|1|1|1|1|1
3469560|1|1|1|1214.9769466|08|2|1|1|1|1|1|1
3469561|1|1|1|1050.1406444|08|2|1|1|1|1|1|1
3469562|1|1|1|1450.9199523|08|2|1|1|1|1|1|1
3469563|1|1|1|1460.2143752|08|2|1|2|1|1|1|1
3469564|1|1|1|1460.2143752|08|1|1|2|1|1|1|1
3469565|1|1|1|3010.4377496|08|2|1|2|1|1|1|1
3469566|1|1|1|1389.5320152|08|1|1|2|1|1|1|1
3469567|1|1|1|965.59356152|08|1|1|1|1|1|1|1
3469568|1|1|1|1064.5754318|08|2|1|1|1|1|1|1
3469569|1|1|1|1058.6531355|08|2|1|1|1|1|1|1
3469570|1|1|1|751.92980696|08|2|1|1|1|1|1|1
3469571|1|1|1|750.24261453|08|2|1|1|1|1|1|1
3469572|1|1|1|1062.4578799|08|1|1|1|1|1|1|1
3469573|1|1|1|844.98938096|08|2|1|1|1|1|1|1
3469574|1|1|1|843.30218853|08|2|1|1|1|1|1|1
3469575|1|1|1|1440.0734873|08|1|1|2|1|1|1|1
3469576|1|1|1|969.59742235|08|1|1|2|1|1|1|1
3469577|1|1|1|1373.1077441|08|2|1|2|1|1|1|1
3469578|1|1|1|2180.2243484|08|1|1|2|1|1|1|1
3469579|1|1|1|2404.2226523|08|1|1|2|1|1|1|1
