Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P37|P38S1|P38S1A1|P38S2|P38S2A1|P38S3|P38S3A1
3479289|1|1|1|142.97864692|34792891|1|1|150000|2||2|
3479293|1|1|1|272.58141675|34792931|1|1|500000|2||2|
3479363|1|1|1|455.4513549|34793631|1|1|53000|1|50000|2|
3479368|1|1|1|260.91009638|34793681|1|1|200000|2||2|
3479487|1|1|1|1302.3158047|34794871|1|1|300000|2||1|150000
3480098|1|1|1|3974.6238544|34800981|1|2||2||2|
3480155|1|1|1|700.25419278|34801551|1|1|200000|1|600000|2|
3480200|1|1|1|241.9930302|34802001|1|1|75000|1|235000|2|
3480202|1|1|1|218.6398305|34802021|1|1|73000|2||2|
3480219|1|1|1|264.04249295|34802191|2||||||
3480361|1|1|1|54.033946096|34803611|1|1|130000|2||2|
3480450|1|1|1|317.0438773|34804501|1|1|200000|2||2|
3480612|1|1|1|3552.8521398|34806121|1|1|150000|2||2|
3480643|1|1|1|1206.5263521|34806431|2||||||
3481059|1|1|1|226.46999104|34810591|2||||||
3481197|1|1|1|211.16993953|34811971|1|1|300000|1|500000|2|
3481422|1|1|1|1494.2684961|34814221|2||||||
3481589|1|1|1|61.837475435|34815891|1|1|1000000|2||2|
